edit_seed,group,official_unlearn_acc,superclass_unlearn_acc,delta_unlearn_acc,official_preserve_acc,superclass_preserve_acc,delta_preserve_acc,official_overall_acc,superclass_overall_acc,delta_overall_acc
20260820,dogs,16.666666666666668,17.083333333333332,0.4166666666666643,46.111111111111114,45.833333333333336,-0.27777777777777857,59.37052932761087,59.03451995685006,-0.33600937076080584
20260820,cats,27.916666666666668,28.75,0.8333333333333321,19.444444444444443,20.0,0.5555555555555571,30.627212948912494,31.232876712328768,0.605663763416274
20260820,fruits,10.0,8.75,-1.25,18.61111111111111,19.444444444444443,0.8333333333333321,30.843989769820972,32.057716436637385,1.213726666816413
20260820,boats,20.833333333333332,21.25,0.41666666666666785,91.94444444444444,93.88888888888889,1.9444444444444429,85.0784632034632,85.65567176186646,0.5772085584032567
20260820,balls,23.333333333333332,22.083333333333332,-1.25,26.944444444444443,27.22222222222222,0.27777777777777857,39.87488829311886,40.347864376926466,0.4729760838076089
20260821,dogs,15.416666666666666,17.083333333333332,1.666666666666666,45.55555555555556,46.388888888888886,0.8333333333333286,59.217360369975104,59.49337629788758,0.276015927912475
20260821,cats,26.25,27.916666666666668,1.6666666666666679,18.333333333333332,19.444444444444443,1.1111111111111107,29.36651583710407,30.627212948912494,1.2606971118084225
20260821,fruits,9.166666666666666,9.166666666666666,0.0,17.77777777777778,18.333333333333332,0.5555555555555536,29.735720375106563,30.508905852417303,0.77318547731074
20260821,boats,20.416666666666668,21.25,0.8333333333333321,92.22222222222223,93.33333333333333,1.1111111111111,85.43788736189707,85.42372881355934,-0.014158548337732668
20260821,balls,23.75,21.25,-2.5,28.333333333333332,27.5,-0.8333333333333321,41.31474103585657,40.76470588235294,-0.5500351535036287
20260822,dogs,16.25,16.25,0.0,45.833333333333336,47.22222222222222,1.3888888888888857,59.244372990353696,60.39236479321314,1.147991802859444
20260822,cats,27.5,28.75,1.25,18.333333333333332,20.0,1.6666666666666679,29.266055045871557,31.232876712328768,1.9668216664572107
20260822,fruits,10.416666666666666,9.166666666666666,-1.25,18.333333333333332,18.055555555555557,-0.277777777777775,30.437580437580436,30.12329931972789,-0.31428111785254487
20260822,boats,22.083333333333332,20.833333333333332,-1.25,92.5,94.44444444444444,1.9444444444444429,84.5843520782396,86.13333333333334,1.5489812550937359
20260822,balls,22.5,23.333333333333332,0.8333333333333321,26.11111111111111,27.5,1.3888888888888893,39.06166219839142,40.480000000000004,1.4183378016085868
20260823,dogs,16.25,17.083333333333332,0.8333333333333321,46.94444444444444,45.0,-1.9444444444444429,60.164718384697125,58.33876221498371,-1.8259561697134146
20260823,cats,27.083333333333332,27.083333333333332,0.0,18.333333333333332,19.166666666666668,0.8333333333333357,29.29984779299848,30.35444947209653,1.0546016790980488
20260823,fruits,8.333333333333334,7.5,-0.8333333333333339,16.666666666666668,18.055555555555557,1.3888888888888893,28.205128205128208,30.213567839195985,2.008439634067777
20260823,boats,19.166666666666668,18.333333333333332,-0.8333333333333357,93.88888888888889,92.22222222222223,-1.6666666666666572,86.87334393216746,86.62406815761449,-0.24927577455297012
20260823,balls,23.333333333333332,22.916666666666668,-0.4166666666666643,28.055555555555557,27.77777777777778,-0.27777777777777857,41.07869142351901,40.838852097130236,-0.23983932638877548
20260824,dogs,15.416666666666666,16.666666666666668,1.2500000000000018,44.72222222222222,45.55555555555556,0.8333333333333357,58.50877192982457,58.90804597701149,0.39927404718692117
20260824,cats,28.333333333333332,27.5,-0.8333333333333321,19.166666666666668,18.055555555555557,-1.1111111111111107,30.244648318042813,28.911042944785276,-1.3336053732575373
20260824,fruits,8.75,8.333333333333334,-0.4166666666666661,17.5,19.166666666666668,1.6666666666666679,29.367816091954023,31.704260651629074,2.3364445596750514
20260824,boats,22.083333333333332,19.583333333333332,-2.5,93.05555555555556,93.05555555555556,0.0,84.81586785810994,86.27568721643982,1.4598193583298809
20260824,balls,20.416666666666668,22.916666666666668,2.5,26.666666666666668,27.5,0.8333333333333321,39.947712418300654,40.537848605577686,0.5901361872770323
