group,mean_delta_unlearn,mean_delta_preserve,mean_delta_overall,positive_preserve_seed_count,positive_overall_seed_count,total_seeds
dogs,0.8333333333333328,0.1666666666666657,-0.06773675250307605,3,3,5
cats,0.5833333333333336,0.6111111111111122,0.7108357695044838,4,4,5
fruits,-0.75,0.8333333333333336,1.2035030440034873,4,4,5
boats,-0.6666666666666672,0.6666666666666657,0.6645149697872341,3,3,5
balls,-0.16666666666666644,0.27777777777777785,0.3383151185601648,3,3,5
