method,target,seed,anchor,similarity,is_own_anchor
joint_vector_eq6_n2,cat,43,piano,0.17780429124832153,False
joint_vector_eq6_n2,cat,44,dog,0.26196157932281494,True
joint_vector_eq6_n2,cat,44,piano,0.16315732896327972,False
joint_vector_eq6_n2,cat,45,dog,0.2695082426071167,True
joint_vector_eq6_n2,cat,45,piano,0.1668940633535385,False
joint_vector_eq6_n2,cat,46,dog,0.27226522564888,True
joint_vector_eq6_n2,cat,46,piano,0.18336619436740875,False
joint_vector_eq6_n2,cat,47,dog,0.2659139931201935,True
joint_vector_eq6_n2,cat,47,piano,0.16137394309043884,False
joint_vector_eq6_n2,cat,48,dog,0.2788366377353668,True
joint_vector_eq6_n2,cat,48,piano,0.18283069133758545,False
joint_vector_eq6_n2,cat,49,dog,0.2967589795589447,True
joint_vector_eq6_n2,cat,49,piano,0.2102305293083191,False
joint_vector_eq6_n2,cat,50,dog,0.2642020881175995,True
joint_vector_eq6_n2,cat,50,piano,0.1867915242910385,False
joint_vector_eq6_n2,cat,51,dog,0.26380228996276855,True
joint_vector_eq6_n2,cat,51,piano,0.18255729973316193,False
joint_vector_eq6_n2,guitar,42,dog,0.1854977011680603,False
joint_vector_eq6_n2,guitar,42,piano,0.3083741068840027,True
joint_vector_eq6_n2,guitar,43,dog,0.1964816302061081,False
joint_vector_eq6_n2,guitar,43,piano,0.3114287555217743,True
joint_vector_eq6_n2,guitar,44,dog,0.20050108432769775,False
joint_vector_eq6_n2,guitar,44,piano,0.29274559020996094,True
joint_vector_eq6_n2,guitar,45,dog,0.19651766121387482,False
joint_vector_eq6_n2,guitar,45,piano,0.3162805736064911,True
joint_vector_eq6_n2,guitar,46,dog,0.19098886847496033,False
joint_vector_eq6_n2,guitar,46,piano,0.2551668584346771,True
joint_vector_eq6_n2,guitar,47,dog,0.19440503418445587,False
joint_vector_eq6_n2,guitar,47,piano,0.3133930563926697,True
joint_vector_eq6_n2,guitar,48,dog,0.1966955065727234,False
joint_vector_eq6_n2,guitar,48,piano,0.3036353886127472,True
joint_vector_eq6_n2,guitar,49,dog,0.19540271162986755,False
joint_vector_eq6_n2,guitar,49,piano,0.3044974207878113,True
joint_vector_eq6_n2,guitar,50,dog,0.1998986452817917,False
joint_vector_eq6_n2,guitar,50,piano,0.3095710277557373,True
joint_vector_eq6_n2,guitar,51,dog,0.1924067586660385,False
joint_vector_eq6_n2,guitar,51,piano,0.30171439051628113,True
