method,target,anchor,mean_target_similarity,mean_own_anchor_similarity,mean_best_other_anchor_similarity,mean_margin,minimum_margin,positive_margin_fraction,own_anchor_top1_rate
original,cat,dog,0.2821267247200012,0.22774437069892883,0.17680254578590393,0.0509418249130249,0.02302427589893341,1.0,1.0
original,guitar,piano,0.30322152376174927,0.20966601371765137,0.19050908088684082,0.019156910479068756,0.001670926809310913,1.0,1.0
single_subspace,cat,dog,0.20649456977844238,0.27187681198120117,0.1773630529642105,0.09451375901699066,0.07869435846805573,1.0,1.0
single_subspace,guitar,piano,0.21786126494407654,0.23390404880046844,0.20592574775218964,0.027978289872407913,-0.009548753499984741,0.9,0.9
joint_subspace_n2,cat,dog,0.2067173421382904,0.273129403591156,0.17591418325901031,0.09721522778272629,0.09281998872756958,1.0,1.0
joint_subspace_n2,guitar,piano,0.22291283309459686,0.23507575690746307,0.2122531235218048,0.02282264456152916,0.003253072500228882,1.0,1.0
joint_vector_eq6_n2,cat,dog,0.21567079424858093,0.2749638557434082,0.17834220826625824,0.09662166237831116,0.07741056382656097,1.0,1.0
joint_vector_eq6_n2,guitar,piano,0.23858408629894257,0.3016807436943054,0.19487956166267395,0.10680115222930908,0.0641779899597168,1.0,1.0
