group,target_names,anchor_names,layer,variant,alpha,target_rank,anchor_rank,residual_rank,target_feature_leakage,target_basis_leakage,anchor_feature_error,raw_frozen_s_distortion,normalized_frozen_s_distortion,f_minus_g_normalized_preservation,compensation_magnitude,compensation_orthogonality_residual,anchor_pointwise_fix_residual,anchor_residual_basis_orthogonality,gram_residual,projection_gram_match_residual,compensation_trace_error
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,,12,12,,0.57350078009767536,0.94460988562718218,0.18578178630602518,1833.7678772072313,0.18834329449895204,,,,,,,,
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,F_pure_residual_projection,1,12,12,12,1.2718918354271968e-28,5.5814552062200431e-29,6.7640315318651834e-29,995.81062854521213,0.1022780782717802,0.07840637505975187,0.34773811660676202,1.8983204807359299e-12,1.5378488330059533e-14,1.4691164914268004e-14,1.8478377675889519e-12,1.8478377675889519e-12,1.6370904631912708e-11
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,G_full_afr,1,12,12,12,1.2563663775992035e-28,5.5800830852886037e-29,9.7916791968608314e-29,232.42219820406626,0.02387170321202834,0.07840637505975187,0.34773811660676202,1.8983204807359299e-12,1.5378488330059533e-14,1.4691164914268004e-14,1.8478377675889519e-12,1.8478377675889519e-12,1.6370904631912708e-11
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful,,12,12,,0.33674054451145524,0.89872581616208536,0.1517256966713465,1494.2754573778002,0.19878860189201977,,,,,,,,
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,F_pure_residual_projection,1,12,12,12,1.1544509907703783e-28,7.5296740553678921e-29,1.1936308842453004e-28,922.74722482311256,0.12275623601837052,0.096748855240786025,0.3542795357632173,1.9080408710839655e-12,1.554976537429159e-14,1.7159807727768506e-14,1.8711392390665064e-12,1.8711392390665064e-12,1.2732925824820995e-11
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,G_full_afr,1,12,12,12,1.1911546646206619e-28,7.5990404823067764e-29,1.363777353687457e-28,195.49506579724971,0.026007380777584497,0.096748855240786025,0.3542795357632173,1.9080408710839655e-12,1.554976537429159e-14,1.7159807727768506e-14,1.8711392390665064e-12,1.8711392390665064e-12,1.2732925824820995e-11
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,,12,12,,0.62281519397937646,0.95158732053195683,0.1657843210303524,2459.438538029789,0.11955509345471606,,,,,,,,
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,F_pure_residual_projection,1,12,12,12,2.2136086489923639e-29,1.0172463465261922e-28,3.5299131215538494e-29,1706.8563541780038,0.082971526948991611,0.067551095165270067,0.27434304746168681,6.518088462940914e-12,1.0218512882566467e-14,1.0501582604363437e-14,6.4673572931383834e-12,6.4673572931383834e-12,7.2759576141834259e-11
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,G_full_afr,1,12,12,12,2.2471884960283207e-29,1.0265958654602673e-28,5.1560419971192686e-29,317.22282260027094,0.015420431783721544,0.067551095165270067,0.27434304746168681,6.518088462940914e-12,1.0218512882566467e-14,1.0501582604363437e-14,6.4673572931383834e-12,6.4673572931383834e-12,7.2759576141834259e-11
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful,,12,12,,0.53133841865561604,0.93590940773914044,0.14494388920518178,1878.3258553625756,0.12218553836898331,,,,,,,,
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,F_pure_residual_projection,1,12,12,12,1.6694122997612428e-29,9.9913340620088902e-29,1.1189832801048398e-29,1725.7816192998175,0.11226249995943348,0.093689560561169533,0.27436711510657597,6.474623807012695e-12,1.2684681584886281e-14,1.1944120520364774e-14,6.4247967530333606e-12,6.4247967530333606e-12,6.5483618527650833e-11
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,G_full_afr,1,12,12,12,1.7779627309864909e-29,1.0052801811826249e-28,1.4609268251785044e-29,285.51686842423561,0.018572939398263943,0.093689560561169533,0.27436711510657597,6.474623807012695e-12,1.2684681584886281e-14,1.1944120520364774e-14,6.4247967530333606e-12,6.4247967530333606e-12,6.5483618527650833e-11
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,,12,12,,0.80234061249738953,0.97459255414815349,0.13425547947983565,3542.6850149559127,0.068895008755463269,,,,,,,,
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,F_pure_residual_projection,1,12,12,12,2.9960514816447615e-29,2.3378967293925452e-28,3.3340315425185791e-29,1723.2440438823776,0.033512127945293436,0.023673728221201125,0.92877196919942606,2.5114421450060403e-11,1.4801302792309846e-14,1.1131876136474873e-14,2.4988970828118363e-11,2.4988970828118363e-11,7.5669959187507629e-10
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,G_full_afr,1,12,12,12,3.1328873942315072e-29,2.357482933778474e-28,7.5165518015786249e-29,505.9053174287364,0.0098383997240923116,0.023673728221201125,0.92877196919942606,2.5114421450060403e-11,1.4801302792309846e-14,1.1131876136474873e-14,2.4988970828118363e-11,2.4988970828118363e-11,7.5669959187507629e-10
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful,,12,12,,0.78362541521983653,0.97332926173205081,0.13458974373498436,3465.2348355836193,0.064846788376611023,,,,,,,,
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,F_pure_residual_projection,1,12,12,12,1.4708440946020833e-28,2.3117430549449303e-28,2.2153434955758112e-29,1719.9553542150684,0.032186442236668486,0.022839247499375763,0.92703784183990934,2.5261758065690499e-11,1.4876518764933083e-14,8.9918698431128206e-15,2.5138917120546208e-11,2.5138917120546208e-11,6.6211214289069176e-10
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,G_full_afr,1,12,12,12,1.4964148933315503e-28,2.3306470531598423e-28,5.6419309784851168e-29,499.48849633905922,0.009347194737292723,0.022839247499375763,0.92703784183990934,2.5261758065690499e-11,1.4876518764933083e-14,8.9918698431128206e-15,2.5138917120546208e-11,2.5138917120546208e-11,6.6211214289069176e-10
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,,12,12,,0.83939366812708105,0.97634866657625963,0.12631138915006601,5133.6892270104472,0.062268498746398671,,,,,,,,
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,F_pure_residual_projection,1,12,12,12,1.078568907282301e-28,2.4473360516415832e-28,8.5845923312008695e-29,2575.5881728613731,0.031240303380509104,0.021243822201050096,0.92636222098069121,2.570826457020512e-11,1.9659357216954275e-14,1.6697419588979145e-14,2.5592891416330213e-11,2.5592891416330213e-11,1.1641532182693481e-09
