mode,Snoopy_CS,Mickey_FID,SpongeBob_FID,Pikachu_FID,HelloKitty_FID,avg_non_target_FID,MSCOCO_CS,MSCOCO_FID
original,28.540276512503628,-3.938708897521792e-05,-4.4103390280270105e-05,-4.4719157187955716e-05,-3.8598576907133975e-05,-4.170205333764443e-05,26.502125039696693,-2.927423582832489e-05
speed,23.459683507680893,23.300154206827244,24.553088116545098,16.85804214982676,22.46016329562775,21.792861942206713,26.479120448231697,19.70262959135414
cprime_null_no_iec,23.30710142850876,29.133256238966,33.05092992022685,23.964169391532096,29.02273812285671,28.792773418395413,26.44448970258236,26.873856649543995
cprime_direct_eq_no_null,14.049079967662692,347.5570058988825,341.47510735318394,316.0756476644089,329.1045000227946,333.5530652348175,13.280773669481277,289.43235984311207
