mode,Snoopy_CS,Mickey_FID,SpongeBob_FID,Pikachu_FID,HelloKitty_FID,avg_non_target_FID,MSCOCO_CS,MSCOCO_FID,sweep_type
original,28.540276512503628,-3.938708897521792e-05,-4.4103390280270105e-05,-4.4719157187955716e-05,-3.8598576907133975e-05,-4.170205333764443e-05,26.502125039696693,-2.927423582832489e-05,
down_only,28.08527173474431,21.760231917079977,22.75670459860646,15.254353738453574,20.178587412867046,19.987469416751765,26.514637276530266,16.365944251021176,group
mid_only,28.744696378707886,15.454994858262125,15.801465802712471,11.405974239535453,14.77696889083029,14.359850947835085,26.468141332268715,13.38546368948397,group
up_only,26.3437082991004,15.45276132762217,17.584867208650394,10.800277344462131,14.789087566494345,14.65674836180726,26.517391249537468,11.456847690440611,group
