representation,ari,nmi,matched_accuracy,cosine_silhouette
Fixed suffix,0.4697183414772855,0.5799643836410285,0.7025,0.08598554879426956
Raw EOT,0.6337922594154872,0.704685402053127,0.775,0.08627036958932877
