representation,concept_nmi,facet_nmi,length_bin_nmi,generation_round_nmi
Fixed suffix,0.5799643836410285,0.0315003406188908,0.038191320296097404,0.03491880522401736
Raw EOT,0.704685402053127,0.02376548114333895,0.05840149014289872,0.05484076923627517
