representation,ari,nmi,matched_accuracy,cosine_silhouette
Fixed suffix,0.6275900137775046,0.6718460909593028,0.795,0.09599737077951431
Raw EOT,0.5489909845383305,0.6215530968561696,0.735,0.09004228562116623
