representation,concept_nmi,facet_nmi,length_bin_nmi,generation_round_nmi
Fixed suffix,0.6718460909593028,0.0490076810831389,0.007093557152825214,0.015927662926311318
Raw EOT,0.6215530968561696,0.014744020509124621,0.06999126037330353,0.07091446143821808
