edit_seed,variant,projection,layer,output_dimension,official_alpha_mean,official_alpha_std,official_alpha_min,official_alpha_max,official_alpha_p50,official_alpha_p95,official_alpha_p99,controlled_alpha_mean,controlled_alpha_std,controlled_alpha_min,controlled_alpha_max,controlled_alpha_p50,controlled_alpha_p95,controlled_alpha_p99,constant_alpha_value,constant_mean_abs_error,exact_multiset_preserved,identity_exact_all_ones,trace_B,frobenius_B,shuffle_salt,permutation_seed
20260820,official,to_v,0,320,0.008649984879593831,0.00029582382899330886,0.006674924399703741,0.008694174699485302,0.008694137446582317,0.008694174699485302,0.008694174699485302,0.008649984879593831,0.00029582382899330886,0.006674924399703741,0.008694174699485302,0.008694137446582317,0.008694174699485302,0.008694174699485302,,0.0,True,False,2.7679951614700258,0.1548258135385146,,
20260820,official,to_v,1,320,0.007668466769973748,0.0002935413841770856,0.005342158488929272,0.007705410942435265,0.007705377414822578,0.007705410942435265,0.007705410942435265,0.007668466769973748,0.0002935413841770856,0.005342158488929272,0.007705410942435265,0.007705377414822578,0.007705410942435265,0.007705410942435265,,0.0,True,False,2.453909366391599,0.13727785531654024,,
20260820,official,to_v,2,640,0.009332931884273421,0.0005052945218538884,1.2675250624744023e-26,0.009402790106832981,0.009402758441865444,0.009402790106832981,0.009402790106832981,0.009332931884273421,0.0005052945218538884,1.2675250624744023e-26,0.009402790106832981,0.009402758441865444,0.009402790106832981,0.009402790106832981,,0.0,True,False,5.9730764059349895,0.23645182669634815,,
20260820,official,to_v,3,640,0.0082171094007208,4.472524014485247e-07,0.008213862776756287,0.008217189460992813,0.008217153139412403,0.008217189460992813,0.008217189460992813,0.0082171094007208,4.472524014485247e-07,0.008213862776756287,0.008217189460992813,0.008217153139412403,0.008217189460992813,0.008217189460992813,,0.0,True,False,5.258950016461313,0.2078782522199164,,
20260820,official,to_v,4,1280,0.008323100922279992,6.857165018117472e-05,0.007837432436645031,0.008332791738212109,0.008332791738212109,0.008332791738212109,0.008332791738212109,0.008323100922279992,6.857165018117472e-05,0.007837432436645031,0.008332791738212109,0.008332791738212109,0.008332791738212109,0.008332791738212109,,0.0,True,False,10.653569180518389,0.2977864090602888,,
20260820,official,to_v,5,1280,0.00901216461243166,0.00036368556480051174,9.482355774099116e-36,0.009059852920472622,0.00905982218682766,0.009059852920472622,0.009059852920472622,0.00901216461243166,0.00036368556480051174,9.482355774099116e-36,0.009059852920472622,0.00905982218682766,0.009059852920472622,0.009059852920472622,,0.0,True,False,11.535570703912526,0.32269123294268487,,
20260820,official,to_v,6,1280,0.008072933497896884,0.00031985852524723585,8.997335441455135e-32,0.008087579160928726,0.008087579160928726,0.008087579160928726,0.008087579160928726,0.008072933497896884,0.00031985852524723585,8.997335441455135e-32,0.008087579160928726,0.008087579160928726,0.008087579160928726,0.008087579160928726,,0.0,True,False,10.333354877308011,0.2890524875428366,,
20260820,official,to_v,7,1280,0.00819836846421822,0.00010285494442185791,0.007454569451510906,0.008212598972022533,0.008212563581764698,0.008212598972022533,0.008212598972022533,0.00819836846421822,0.00010285494442185791,0.007454569451510906,0.008212598972022533,0.008212563581764698,0.008212598972022533,0.008212598972022533,,0.0,True,False,10.493911634199321,0.29333681140908635,,
20260820,official,to_v,8,1280,0.008439985695440555,0.00024553843973487325,4.226859513805433e-31,0.008456124924123287,0.0084560951218009,0.008456124924123287,0.008456124924123287,0.008439985695440555,0.00024553843973487325,4.226859513805433e-31,0.008456124924123287,0.0084560951218009,0.008456124924123287,0.008456124924123287,,0.0,True,False,10.80318169016391,0.30208576385125885,,
20260820,official,to_v,9,640,0.007949894964258419,0.0003209662066112345,4.385751974173685e-34,0.007970287464559078,0.007970252074301243,0.007970287464559078,0.007970287464559078,0.007949894964258419,0.0003209662066112345,4.385751974173685e-34,0.007970287464559078,0.007970252074301243,0.007970287464559078,0.007970287464559078,,0.0,True,False,5.087932777125388,0.20128179376126365,,
