true_concept,cat,dog,fox,bear,wolf,rabbit,deer,horse
cat,16,4,12,1,4,3,0,10
dog,14,13,8,5,2,1,0,7
fox,2,2,8,13,9,11,2,3
bear,7,2,4,18,2,7,8,2
wolf,0,0,3,9,20,1,16,1
rabbit,2,3,10,3,2,20,4,6
deer,0,4,3,4,0,16,14,9
horse,8,12,9,6,1,3,1,10
