true_concept,cat,dog,fox,bear,wolf,rabbit,deer,horse
cat,24,5,11,1,6,0,1,2
dog,7,13,7,0,6,0,4,13
fox,0,10,5,5,3,15,11,1
bear,0,1,1,19,8,1,14,6
wolf,0,7,4,4,13,8,11,3
rabbit,2,5,1,1,7,21,13,0
deer,1,5,2,11,7,9,12,3
horse,1,11,0,0,14,0,7,17
