true_concept,cat,dog,fox,bear,wolf,rabbit,deer,horse
cat,34,3,2,2,0,8,0,1
dog,0,48,0,0,0,1,0,1
fox,1,2,26,2,0,16,1,2
bear,0,1,12,31,0,1,5,0
wolf,0,1,1,2,44,1,1,0
rabbit,0,2,4,0,0,40,1,3
deer,0,0,0,1,0,0,44,5
horse,0,0,1,1,0,0,0,48
