true_concept,cat,dog,fox,bear,wolf,rabbit,deer,horse
cat,18,10,4,3,0,5,0,10
dog,14,7,0,6,0,6,0,17
fox,0,3,11,10,7,8,3,8
bear,3,2,8,17,1,5,11,3
wolf,0,1,14,11,13,7,3,1
rabbit,2,3,4,4,0,25,1,11
deer,0,8,5,1,1,5,25,5
horse,1,2,2,10,6,6,0,23
