true_concept,cat,dog,fox,bear,wolf,rabbit,deer,horse
cat,19,12,6,8,0,3,0,2
dog,4,20,5,16,0,0,1,4
fox,8,0,10,4,2,15,6,5
bear,0,1,11,14,0,0,18,6
wolf,1,2,8,2,16,0,5,16
rabbit,6,1,13,1,0,21,1,7
deer,2,0,14,2,0,3,19,10
horse,2,12,3,16,0,1,1,15
