true_concept,cat,dog,fox,bear,wolf,rabbit,deer,horse
cat,25,0,24,1,0,0,0,0
dog,1,27,12,0,1,3,0,6
fox,4,1,6,15,4,12,1,7
bear,0,3,4,41,1,0,0,1
wolf,0,0,2,3,41,0,2,2
rabbit,7,0,9,0,0,30,0,4
deer,0,0,3,2,0,0,40,5
horse,1,6,12,0,0,7,0,24
