true_concept,cat,dog,fox,bear,wolf,rabbit,deer,horse
cat,31,13,3,0,2,0,0,1
dog,5,12,5,1,4,3,0,20
fox,3,9,5,6,4,14,8,1
bear,2,0,8,30,2,1,4,3
wolf,0,6,5,21,17,0,0,1
rabbit,4,2,8,1,0,27,2,6
deer,0,3,5,3,1,0,36,2
horse,1,1,8,0,0,3,0,37
