true_concept,cat,dog,fox,bear,wolf,rabbit,deer,horse
cat,40,3,0,0,1,4,1,1
dog,0,42,0,0,1,7,0,0
fox,1,3,8,8,0,24,6,0
bear,0,5,0,39,0,4,2,0
wolf,0,0,7,15,25,2,1,0
rabbit,0,4,0,0,0,45,0,1
deer,0,3,0,1,1,4,41,0
horse,0,4,0,0,0,4,1,41
