true_concept,cat,dog,fox,bear,wolf,rabbit,deer,horse
cat,20,2,2,1,4,9,11,1
dog,9,16,0,1,5,6,6,7
fox,0,1,20,4,4,10,9,2
bear,0,1,12,17,9,0,4,7
wolf,0,1,9,15,10,1,4,10
rabbit,2,1,16,4,7,6,8,6
deer,1,2,11,11,8,1,7,9
horse,1,13,3,3,11,2,3,14
