true_concept,cat,dog,fox,bear,wolf,rabbit,deer,horse
cat,46,0,1,2,1,0,0,0
dog,1,43,0,1,1,2,0,2
fox,5,0,14,9,7,14,0,1
bear,0,4,2,39,4,1,0,0
wolf,1,0,0,3,46,0,0,0
rabbit,3,2,0,1,0,43,0,1
deer,0,1,1,17,0,0,28,3
horse,1,0,0,2,0,1,0,46
