true_concept,cat,dog,fox,bear,wolf,rabbit,deer,horse
cat,39,0,7,1,1,1,0,1
dog,0,47,0,0,1,1,0,1
fox,5,1,13,9,0,19,2,1
bear,0,0,9,38,0,1,0,2
wolf,0,0,5,1,43,0,1,0
rabbit,0,0,5,1,0,43,0,1
deer,0,0,4,7,1,0,37,1
horse,0,0,2,0,0,0,0,48
