true_concept,cat,dog,fox,bear,wolf,rabbit,deer,horse
cat,23,19,0,1,1,2,0,4
dog,3,21,0,1,2,4,0,19
fox,3,3,15,2,2,14,0,11
bear,0,1,2,39,2,3,0,3
wolf,0,3,0,3,41,0,0,3
rabbit,0,6,0,0,0,41,0,3
deer,0,3,1,2,1,2,36,5
horse,0,9,1,0,1,5,0,34
