true_concept,cat,dog,fox,bear,wolf,rabbit,deer,horse
cat,35,4,10,0,0,1,0,0
dog,1,49,0,0,0,0,0,0
fox,2,0,24,9,9,4,2,0
bear,0,0,0,48,0,1,1,0
wolf,0,2,0,5,42,0,1,0
rabbit,1,1,1,0,0,47,0,0
deer,0,0,1,1,1,5,40,2
horse,0,2,0,3,0,0,0,45
