true_concept,cat,dog,fox,bear,wolf,rabbit,deer,horse
cat,31,1,12,1,0,5,0,0
dog,0,40,6,1,1,1,0,1
fox,3,0,6,7,8,24,0,2
bear,0,2,1,37,3,7,0,0
wolf,0,1,1,3,42,1,2,0
rabbit,0,0,10,0,0,40,0,0
deer,0,0,1,10,0,9,29,1
horse,0,0,6,0,0,7,0,37
