true_concept,cat,dog,fox,bear,wolf,rabbit,deer,horse
cat,37,2,0,1,1,9,0,0
dog,0,38,0,1,2,8,0,1
fox,1,4,16,5,2,22,0,0
bear,0,5,15,24,2,4,0,0
wolf,0,1,0,3,43,2,1,0
rabbit,1,3,2,1,0,43,0,0
deer,0,3,1,6,1,3,36,0
horse,0,1,1,1,0,7,0,40
