true_concept,cat,dog,fox,bear,wolf,rabbit,deer,horse
cat,31,2,15,1,0,1,0,0
dog,4,46,0,0,0,0,0,0
fox,2,0,16,25,2,5,0,0
bear,0,0,0,47,0,3,0,0
wolf,0,0,0,4,45,1,0,0
rabbit,2,0,0,0,0,48,0,0
deer,0,0,0,5,1,7,35,2
horse,0,2,0,0,0,2,0,46
