true_concept,cat,dog,fox,bear,wolf,rabbit,deer,horse
cat,19,18,0,1,4,4,2,2
dog,1,22,0,1,3,0,8,15
fox,5,4,13,1,2,11,10,4
bear,2,1,1,12,8,2,15,9
wolf,7,2,1,13,16,1,10,0
rabbit,2,1,10,1,5,17,13,1
deer,1,1,16,3,8,3,15,3
horse,0,9,0,6,18,1,4,12
