true_concept,cat,dog,fox,bear,wolf,rabbit,deer,horse
cat,28,0,22,0,0,0,0,0
dog,10,39,1,0,0,0,0,0
fox,2,0,21,9,2,16,0,0
bear,1,0,1,48,0,0,0,0
wolf,1,0,0,2,46,0,1,0
rabbit,5,0,16,0,0,29,0,0
deer,0,0,0,1,1,7,39,2
horse,1,1,0,2,0,2,0,44
