true_concept,cat,dog,fox,bear,wolf,rabbit,deer,horse
cat,40,4,4,1,0,1,0,0
dog,1,40,3,1,1,2,0,2
fox,2,0,10,4,3,27,3,1
bear,0,0,4,44,0,1,0,1
wolf,0,0,5,4,39,1,1,0
rabbit,1,0,11,0,0,38,0,0
deer,0,0,3,2,1,6,35,3
horse,0,3,4,1,0,2,0,40
