scope,identifier,delta_unlearn,delta_preserve,delta_overall
seed,20260820,0.08333333333333215,5.388888888888886,4.526706534612821
seed,20260821,0.5,5.333333333333336,4.414561487754142
seed,20260822,-0.16666666666666785,5.5,4.711748791965391
seed,20260823,1.3333333333333357,5.111111111111107,3.9950110909010945
seed,20260824,0.75,5.611111111111114,4.591828352263882
five_seed_mean,projection_accumulation-minus-official,0.5,5.388888888888886,4.44797125149946
