projection,layer_index,target_index,target_concept,pearson,spearman
to_v,0,0,golden retriever,0.019665194547719905,-0.01114277579718498
to_v,0,1,labrador retriever,0.030857587442634022,0.07268131394629827
to_v,0,2,tabby,0.028298393231984447,0.1150367016900358
to_v,0,3,tiger cat,0.025899817595601827,0.03418118653231991
to_v,0,4,orange,0.026465683777727164,-0.04410591227236893
to_v,0,5,lemon,0.03819922919696505,-0.005729851956296573
to_v,0,6,yawl,0.039086701776983854,0.08769194508906908
to_v,0,7,lifeboat,0.03614533395673296,-0.029050064464336542
to_v,0,8,soccer ball,0.037692662898155115,-0.025242405655639608
to_v,0,9,volleyball,0.03773531314662806,0.13466880456811847
to_v,1,0,golden retriever,0.035238367104235634,0.06361743709033446
to_v,1,1,labrador retriever,0.05107696430919739,0.1204698980477544
to_v,1,2,tabby,0.06763614582566127,0.15030126408755135
to_v,1,3,tiger cat,0.05555414631406697,0.02160783035862597
to_v,1,4,orange,0.03186488750936341,0.042277679240406055
to_v,1,5,lemon,0.04876992923011841,0.016617228221632023
to_v,1,6,yawl,0.030145458180007852,0.03362627330157335
to_v,1,7,lifeboat,0.04602319536482534,-0.011317096792282445
to_v,1,8,soccer ball,0.061394294087936285,0.1444525607900785
to_v,1,9,volleyball,0.05240239780664425,0.008814938860754015
to_v,2,0,golden retriever,0.03254341251508554,-0.028597815893157838
to_v,2,1,labrador retriever,0.04390709887543917,0.051396782419769436
to_v,2,2,tabby,0.029943246515882923,0.02823037799345485
to_v,2,3,tiger cat,0.038867208695077066,0.05697523068935319
to_v,2,4,orange,0.041136334412188474,0.07522984014678778
to_v,2,5,lemon,0.034761973410387025,0.029947916947280186
to_v,2,6,yawl,0.03447797221713641,0.029097387516748584
to_v,2,7,lifeboat,0.036764306754634817,0.08832270510973175
to_v,2,8,soccer ball,0.037269034749591395,0.02955541641297495
to_v,2,9,volleyball,0.02251793705519866,0.042489364160850376
to_v,3,0,golden retriever,0.041848035252716,0.11129599063341582
to_v,3,1,labrador retriever,0.040838091938726964,0.07551040680322858
