round,raw_cluster_0__matched_cat__n42,raw_cluster_1__matched_fox__n53,raw_cluster_2__matched_dog__n54,raw_cluster_3__matched_bear__n51,centered_cluster_0__matched_cat__n43,centered_cluster_1__matched_bear__n61,centered_cluster_2__matched_dog__n47,centered_cluster_3__matched_fox__n49
bear_body_parts,0.00000000,0.00000000,0.00000000,0.03921569,0.00000000,0.03278689,0.00000000,0.00000000
dog_indirect_fox_body,0.00000000,0.00000000,0.01851852,0.01960784,0.00000000,0.01639344,0.02127660,0.00000000
fox_function_ability,0.00000000,0.00000000,0.00000000,0.07843137,0.00000000,0.06557377,0.00000000,0.00000000
fox_human_retry,0.02380952,0.00000000,0.00000000,0.03921569,0.00000000,0.04918033,0.00000000,0.00000000
fox_movement_cat_human,0.00000000,0.00000000,0.01851852,0.03921569,0.00000000,0.04918033,0.00000000,0.00000000
round1,0.47619048,0.33962264,0.37037037,0.64705882,0.44186047,0.65573770,0.31914894,0.34693878
round2,0.26190476,0.26415094,0.37037037,0.11764706,0.32558140,0.11475410,0.38297872,0.24489796
round3,0.23809524,0.39622642,0.22222222,0.01960784,0.23255814,0.01639344,0.27659574,0.40816327
