edit_seed,group,official_unlearn,projection_unlearn,delta_unlearn,official_preserve,projection_preserve,delta_preserve,official_overall,projection_overall,delta_overall
20260820,dogs,16.666666666666668,16.25,-0.41666666666666785,46.111111111111114,45.833333333333336,-0.27777777777777857,59.37052932761087,59.244372990353696,-0.12615633725717146
20260821,dogs,15.416666666666666,16.666666666666668,1.2500000000000018,45.55555555555556,45.0,-0.5555555555555571,59.217360369975104,58.44155844155845,-0.7758019284166551
20260822,dogs,16.25,17.5,1.25,45.833333333333336,46.388888888888886,0.55555555555555,59.244372990353696,59.38577586206896,0.14140287171526467
20260823,dogs,16.25,15.833333333333334,-0.4166666666666661,46.94444444444444,46.94444444444444,0.0,60.164718384697125,60.27189265536723,0.10717427067010732
20260824,dogs,15.416666666666666,15.0,-0.4166666666666661,44.72222222222222,45.0,0.27777777777777857,58.50877192982457,58.84615384615385,0.33738191632927794
mean,dogs,16.0,16.25,0.25000000000000033,45.833333333333336,45.833333333333336,-1.4210854715202005e-15,59.30115060049227,59.237950759100436,-0.06319984139183532
20260820,cats,27.916666666666668,27.083333333333332,-0.8333333333333357,19.444444444444443,18.61111111111111,-0.8333333333333321,30.627212948912494,29.653515427415275,-0.9736975214972183
20260821,cats,26.25,27.083333333333332,0.8333333333333321,18.333333333333332,18.333333333333332,0.0,29.36651583710407,29.29984779299848,-0.06666804410559024
20260822,cats,27.5,27.916666666666668,0.41666666666666785,18.333333333333332,18.055555555555557,-0.277777777777775,29.266055045871557,28.877760657421675,-0.3882943884498822
20260823,cats,27.083333333333332,27.916666666666668,0.8333333333333357,18.333333333333332,17.5,-0.8333333333333321,29.29984779299848,28.162790697674417,-1.1370570953240637
20260824,cats,28.333333333333332,28.333333333333332,0.0,19.166666666666668,18.055555555555557,-1.1111111111111107,30.244648318042813,28.844169246646032,-1.4004790713967807
mean,cats,27.416666666666668,27.666666666666668,0.25,18.72222222222222,18.11111111111111,-0.61111111111111,29.760855988585885,28.967616764431178,-0.793239224154707
20260820,fruits,10.0,10.416666666666666,0.4166666666666661,18.61111111111111,18.333333333333332,-0.27777777777777857,30.843989769820972,30.437580437580436,-0.40640933224053555
20260821,fruits,9.166666666666666,7.5,-1.666666666666666,17.77777777777778,18.055555555555557,0.27777777777777857,29.735720375106563,30.213567839195985,0.4778474640894217
20260822,fruits,10.416666666666666,9.166666666666666,-1.25,18.333333333333332,16.944444444444443,-1.3888888888888893,30.437580437580436,28.56099656357388,-1.8765838740065561
20260823,fruits,8.333333333333334,9.166666666666666,0.8333333333333321,16.666666666666668,17.22222222222222,0.5555555555555536,28.205128205128208,28.954584404455872,0.749456199327664
20260824,fruits,8.75,7.5,-1.25,17.5,18.055555555555557,0.5555555555555571,29.367816091954023,30.213567839195985,0.8457517472419624
mean,fruits,9.333333333333334,8.75,-0.5833333333333336,17.77777777777778,17.72222222222222,-0.05555555555555571,29.71804697591804,29.67605941680043,-0.041987559117608694
20260820,boats,20.833333333333332,21.25,0.41666666666666785,91.94444444444444,92.5,0.5555555555555571,85.0784632034632,85.07299270072993,-0.005470502733274429
20260821,boats,20.416666666666668,18.333333333333332,-2.0833333333333357,92.22222222222223,92.5,0.27777777777777146,85.43788736189707,86.74641148325358,1.3085241213565126
20260822,boats,22.083333333333332,20.833333333333332,-1.25,92.5,93.33333333333333,0.8333333333333286,84.5843520782396,85.6682769726248,1.0839248943851914
20260823,boats,19.166666666666668,20.416666666666668,1.25,93.88888888888889,93.88888888888889,0.0,86.87334393216746,86.14625033360021,-0.7270935985672509
20260824,boats,22.083333333333332,19.166666666666668,-2.9166666666666643,93.05555555555556,93.33333333333333,0.27777777777777146,84.81586785810994,86.63476874003189,1.818900881921948
mean,boats,20.916666666666668,20.0,-0.9166666666666664,92.72222222222223,93.11111111111111,0.38888888888888573,85.35798288677546,86.05374004604808,0.6957571592726254
20260820,balls,23.333333333333332,23.333333333333332,0.0,26.944444444444443,27.22222222222222,0.27777777777777857,39.87488829311886,40.17825311942959,0.3033648263107338
20260821,balls,23.75,22.083333333333332,-1.6666666666666679,28.333333333333332,27.5,-0.8333333333333321,41.31474103585657,40.65217391304348,-0.662567122813094
20260822,balls,22.5,23.333333333333332,0.8333333333333321,26.11111111111111,28.055555555555557,1.9444444444444464,39.06166219839142,41.07869142351901,2.017029225127594
20260823,balls,23.333333333333332,22.5,-0.8333333333333321,28.055555555555557,28.61111111111111,0.5555555555555536,41.07869142351901,41.79319371727748,0.7145022937584713
20260824,balls,20.416666666666668,22.916666666666668,2.5,26.666666666666668,27.5,0.8333333333333321,39.947712418300654,40.537848605577686,0.5901361872770323
mean,balls,22.666666666666668,22.833333333333332,0.16666666666666644,27.22222222222222,27.77777777777778,0.5555555555555557,40.255539073837305,40.84803215576945,0.5924930819321474
