projection,layer_index,target_index,target_concept,official_mean,v1_mean,direct_mean,official_median,v1_median,direct_median,official_p95,v1_p95,direct_p95,official_max,v1_max,direct_max,official_contribution_frobenius,v1_contribution_frobenius,direct_contribution_frobenius,direct_to_official_contribution_ratio,direct_to_v1_contribution_ratio
to_v,0,0,golden retriever,0.00661236197774997,0.026838544810198074,0.0014450313672158994,0.006674954202026129,0.0009298479999415576,0.00036284005909692496,0.006674954202026129,0.05499902684241537,0.004147482244297863,0.006674954202026129,1.0,0.05924053490161896,208.3917195494315,25612.813758266562,1130.9427810274817,5.4270044101210875,0.044155350977885775
to_v,0,1,labrador retriever,0.008497537291259506,0.028258296969579533,0.0013928088975208933,0.008687560446560383,0.0009065615013241768,0.00035892444429919124,0.008687597699463367,0.0850512124598027,0.004521072050556542,0.008687597699463367,0.9999933242797852,0.044243890792131424,269.26075298610147,25455.697210339622,987.7164745999846,3.6682526645499203,0.03880139154856041
to_v,0,2,tabby,0.008070420857984572,0.027726979733597546,0.0015778429862248699,0.008224619552493095,0.0008950030023697764,0.0004146883584326133,0.008224647492170334,0.07421612367033965,0.004853732371702791,0.008224647492170334,0.9999980330467224,0.05324751138687134,257.3028432895281,25618.768390080055,1139.0175634326463,4.426758557622993,0.04446027795284998
to_v,0,3,tiger cat,0.007598250322917011,0.027306045556542813,0.0015727714801218623,0.007718841079622507,0.000887716916622594,0.00043199292849749327,0.007718874607235193,0.08602254427969461,0.004996969550848008,0.007718874607235193,0.9999990463256836,0.05678197741508484,235.74543452162152,25571.134034150036,1130.2142090468271,4.794214621124164,0.04419883011592038
to_v,0,4,orange,0.007143289825762622,0.03408322774812404,0.0016302260793470192,0.007233730051666498,0.0007840262842364609,0.0004707232001237571,0.007233730051666498,0.1681065760552884,0.006004015891812743,0.007233730051666498,0.9999971389770508,0.048564910888671875,225.28376861024475,25500.3988404832,1028.9282627833154,4.56725430833602,0.04034949685374484
to_v,0,5,lemon,0.008933945704484358,0.03731454412818493,0.0017163088396354247,0.00916303601115942,0.0007602514524478465,0.0004641204286599532,0.00916303601115942,0.19962917268276262,0.00673295720480383,0.00916303601115942,0.9999980330467224,0.052481722086668015,291.40595262757705,24447.984285297032,1029.5946879488272,3.5331971727587557,0.04211368413583378
to_v,0,6,yawl,0.008526238377089611,0.043828520054466934,0.0016444794391043197,0.008716902695596218,0.0006904648325871676,0.0005131778598297387,0.008716939948499203,0.31181792765855804,0.006956460117362441,0.008716939948499203,0.9999933242797852,0.04191732034087181,267.50969215131914,25574.30123033125,811.0004305109308,3.031667465910661,0.03171153820418288
to_v,0,7,lifeboat,0.008526239075581542,0.03631670763343209,0.0017365574484184743,0.00871692132204771,0.000725240504834801,0.0004958535137120634,0.008716939948499203,0.10302300155162829,0.005329717486165467,0.008716939948499203,0.999995231628418,0.048277053982019424,276.2392076544996,25368.488891286397,1041.1863860100536,3.769147742822575,0.04104250712259341
to_v,0,8,soccer ball,0.008503277684212662,0.038614524429613085,0.0016995933762795068,0.008693461306393147,0.000738332950277254,0.0005954290099907666,0.008693461306393147,0.181038407981396,0.005862044636160138,0.008693461306393147,0.999977171421051,0.038698017597198486,273.0478262331303,25933.915271121994,902.333507030575,3.304672003724929,0.03479357041145823
to_v,0,9,volleyball,0.008503302681492641,0.040088173675667346,0.0017093174737519493,0.008693461306393147,0.0007412261911667883,0.0006166750972624868,0.008693484589457512,0.2362305015325548,0.006374759180471303,0.008693484589457512,0.9999361038208008,0.03547478839755058,273.43467978831825,25834.36017869607,830.2345482850368,3.0363176643422474,0.032136834144229263
to_v,1,0,golden retriever,0.006612354359822348,0.07224798265875734,0.000715493510816878,0.006674912758171558,0.0003632811567513272,0.0003321644035167992,0.006674954202026129,0.5762627243995667,0.0026415049447678033,0.006674954202026129,0.9998922348022461,0.00889421347528696,126.00719664249193,2457.7026675229217,21.174407589827936,0.16804125600781392,0.008615528586771351
to_v,1,1,labrador retriever,0.008497568589518778,0.06662414281341852,0.0006481872733676731,0.008687597699463367,0.0003699425869854167,0.00027398241218179464,0.00868762657046318,0.5379823267459873,0.0024538697325624534,0.00868762657046318,0.999934196472168,0.009037138894200325,162.61914887428006,1206.4788005813018,9.810856363054864,0.06033026510696832,0.0081318099898049
to_v,1,2,tabby,0.009779247856931761,0.0813953861182199,0.0005791697968706294,0.010094691999256611,0.0003043540345970541,0.0002730128908297047,0.010094725526869297,0.7088833808898927,0.0022859828895889223,0.010094725526869297,0.9926110506057739,0.004393414128571749,175.78259087388065,1653.1326689268922,7.467035952154236,0.042478813829246814,0.004516900604838545
to_v,1,3,tiger cat,0.008051966648781671,0.08868455521795796,0.0006864283262035198,0.008205842226743698,0.0002765572862699628,0.0003215173346688971,0.008205842226743698,0.682798457145691,0.0025883298832923177,0.008205842226743698,0.9924191832542419,0.005069343373179436,147.00314020668975,1391.0637487722076,10.170117958468754,0.06918299802418736,0.007311036584373066
