scope,identifier,delta_unlearn,delta_preserve,delta_overall
seed,20260820,-0.08333333333333215,-0.11111111111111427,-0.07932635383067321
seed,20260821,-0.6666666666666679,-0.1666666666666643,-0.0022271916058613783
seed,20260822,0.0,0.3333333333333357,0.29500202342185844
seed,20260823,0.3333333333333357,0.055555555555557135,-0.025684151402622035
seed,20260824,-0.41666666666666785,0.1666666666666643,0.24056185486379889
five_seed_mean,projection_accumulation_direct_cos2-minus-official,-0.1666666666666643,0.055555555555557135,0.08566523628929446
