condition,checkpoint,step,concept,role,n_images,accuracy,mean_expected_probability,class_count,image_retention
retain_once,W09,9,ship,erased_target,100,0.2,0.14348307006337563,10,delete-after-eval
retain_once,W09,9,elephant,explicit_retain_probe,100,1.0,0.9996378719806671,11,delete-after-eval
retain_once,W10,10,airplane,erased_target,100,0.0,0.039241474801820005,10,delete-after-eval
retain_once,W10,10,automobile,erased_target,100,0.8,0.6865148552320898,10,delete-after-eval
retain_once,W10,10,bird,erased_target,100,0.91,0.8911408657580614,10,delete-after-eval
retain_once,W10,10,cat,erased_target,100,0.0,0.001819372411700897,10,delete-after-eval
retain_once,W10,10,deer,erased_target,100,0.0,0.0020320978225072395,10,delete-after-eval
retain_once,W10,10,dog,erased_target,100,0.71,0.632801323486492,10,delete-after-eval
retain_once,W10,10,frog,erased_target,100,0.04,0.05270099837152884,10,delete-after-eval
retain_once,W10,10,horse,erased_target,100,0.05,0.036544354551442663,10,delete-after-eval
retain_once,W10,10,ship,erased_target,100,0.1,0.08130649567094224,10,delete-after-eval
retain_once,W10,10,truck,erased_target,100,0.4,0.3296277311211452,10,delete-after-eval
retain_once,W10,10,elephant,explicit_retain_probe,100,1.0,0.9996223419904708,11,delete-after-eval
retain_always,W01,1,airplane,erased_target,100,0.04,0.04179117100286021,10,delete-after-eval
retain_always,W01,1,elephant,explicit_retain_probe,100,1.0,0.9995828223228455,11,delete-after-eval
retain_always,W02,2,airplane,erased_target,100,0.08,0.07988053085031424,10,delete-after-eval
retain_always,W02,2,automobile,erased_target,100,0.68,0.633947861418128,10,delete-after-eval
retain_always,W02,2,elephant,explicit_retain_probe,100,1.0,0.9995979648828507,11,delete-after-eval
retain_always,W03,3,airplane,erased_target,100,0.04,0.05782821249897097,10,delete-after-eval
retain_always,W03,3,automobile,erased_target,100,0.75,0.6743612589035183,10,delete-after-eval
retain_always,W03,3,bird,erased_target,100,0.41,0.4009204688592581,10,delete-after-eval
retain_always,W03,3,elephant,explicit_retain_probe,100,1.0,0.9995841139554977,11,delete-after-eval
retain_always,W04,4,airplane,erased_target,100,0.08,0.08410065804171608,10,delete-after-eval
retain_always,W04,4,automobile,erased_target,100,0.76,0.6738619794603438,10,delete-after-eval
retain_always,W04,4,bird,erased_target,100,0.67,0.6056097776762909,10,delete-after-eval
retain_always,W04,4,cat,erased_target,100,0.0,0.002597069527837448,10,delete-after-eval
retain_always,W04,4,elephant,explicit_retain_probe,100,1.0,0.9995982825756073,11,delete-after-eval
retain_always,W05,5,airplane,erased_target,100,0.05,0.06860724330397716,10,delete-after-eval
retain_always,W05,5,automobile,erased_target,100,0.65,0.6063850148022175,10,delete-after-eval
retain_always,W05,5,bird,erased_target,100,0.76,0.717016672527534,10,delete-after-eval
retain_always,W05,5,cat,erased_target,100,0.0,0.0020522765041096134,10,delete-after-eval
retain_always,W05,5,deer,erased_target,100,0.0,0.004094994916904397,10,delete-after-eval
retain_always,W05,5,elephant,explicit_retain_probe,100,1.0,0.9995648616552353,11,delete-after-eval
retain_always,W06,6,airplane,erased_target,100,0.08,0.08837149877981573,10,delete-after-eval
retain_always,W06,6,automobile,erased_target,100,0.7,0.6474459967948496,10,delete-after-eval
retain_always,W06,6,bird,erased_target,100,0.86,0.8152442683978006,10,delete-after-eval
retain_always,W06,6,cat,erased_target,100,0.0,0.002260370485892054,10,delete-after-eval
retain_always,W06,6,deer,erased_target,100,0.0,0.003809233219089947,10,delete-after-eval
retain_always,W06,6,dog,erased_target,100,0.11,0.12871889764239314,10,delete-after-eval
retain_always,W06,6,elephant,explicit_retain_probe,100,1.0,0.9995719701051712,11,delete-after-eval
retain_always,W07,7,airplane,erased_target,100,0.07,0.06086692514021706,10,delete-after-eval
retain_always,W07,7,automobile,erased_target,100,0.73,0.6422705382667482,10,delete-after-eval
retain_always,W07,7,bird,erased_target,100,0.84,0.7764908268139697,10,delete-after-eval
retain_always,W07,7,cat,erased_target,100,0.0,0.0019067603175062686,10,delete-after-eval
retain_always,W07,7,deer,erased_target,100,0.0,0.001906666803824919,10,delete-after-eval
retain_always,W07,7,dog,erased_target,100,0.17,0.1457044247884187,10,delete-after-eval
retain_always,W07,7,frog,erased_target,100,0.07,0.07356609851321906,10,delete-after-eval
retain_always,W07,7,elephant,explicit_retain_probe,100,1.0,0.9995911848545075,11,delete-after-eval
retain_always,W08,8,airplane,erased_target,100,0.1,0.09275855801652141,10,delete-after-eval
retain_always,W08,8,automobile,erased_target,100,0.76,0.6743328337930143,10,delete-after-eval
retain_always,W08,8,bird,erased_target,100,0.89,0.849434207715094,10,delete-after-eval
retain_always,W08,8,cat,erased_target,100,0.0,0.002885646088398062,10,delete-after-eval
retain_always,W08,8,deer,erased_target,100,0.0,0.0008931498168340113,10,delete-after-eval
retain_always,W08,8,dog,erased_target,100,0.76,0.6406815331871621,10,delete-after-eval
retain_always,W08,8,frog,erased_target,100,0.08,0.0868733093535775,10,delete-after-eval
