checkpoint,step,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
W01,1,0.04,,,,,,,,,
W02,2,0.12,0.71,,,,,,,,
W03,3,0.04,0.78,0.47,,,,,,,
W04,4,0.07,0.75,0.72,0.0,,,,,,
W05,5,0.05,0.59,0.8,0.0,0.0,,,,,
W06,6,0.05,0.71,0.88,0.0,0.0,0.13,,,,
W07,7,0.05,0.77,0.86,0.0,0.0,0.14,0.1,,,
W08,8,0.11,0.73,0.91,0.0,0.0,0.85,0.05,0.1,,
W09,9,0.12,0.75,0.9,0.0,0.0,0.79,0.05,0.04,0.2,
W10,10,0.0,0.8,0.91,0.0,0.0,0.71,0.04,0.05,0.1,0.4
