seed,m,ordered_prefix,alpha_count,alpha_mean,alpha_std,alpha_median,alpha_p90,alpha_p95,alpha_p99,alpha_min,alpha_max
20260822,5,tabby|Labrador retriever|tiger|lion|African elephant,24960,0.05039009134783649,0.002712238990476109,0.05017504096031189,0.05416082590818405,0.054937565885484124,0.059810198843479156,0.043617695569992065,0.05981029197573662
20260822,10,tabby|Labrador retriever|tiger|lion|African elephant|sports car|convertible|school bus|airliner|mountain bike,24960,0.0513170078168444,0.002501551479695893,0.05109941214323044,0.054160911589860916,0.05637810751795769,0.059810198843479156,0.0462910532951355,0.05981029197573662
20260822,20,tabby|Labrador retriever|tiger|lion|African elephant|sports car|convertible|school bus|airliner|mountain bike|minivan|pickup|motor scooter|folding chair|rocking chair|desk|dining table|table lamp|acoustic guitar|grand piano,24960,0.05170047550897997,0.002445546740415218,0.051435962319374084,0.05577312409877777,0.056644126772880554,0.059810198843479156,0.046792443841695786,0.05981029197573662
20260822,30,tabby|Labrador retriever|tiger|lion|African elephant|sports car|convertible|school bus|airliner|mountain bike|minivan|pickup|motor scooter|folding chair|rocking chair|desk|dining table|table lamp|acoustic guitar|grand piano|violin|cornet|sax|cellular telephone|reflex camera|laptop|television|computer keyboard|Granny Smith|orange,24960,0.05244172892924279,0.002419137803333262,0.05240063741803169,0.055773213505744934,0.05675218254327774,0.059810198843479156,0.04692799970507622,0.05981029197573662
20260822,40,tabby|Labrador retriever|tiger|lion|African elephant|sports car|convertible|school bus|airliner|mountain bike|minivan|pickup|motor scooter|folding chair|rocking chair|desk|dining table|table lamp|acoustic guitar|grand piano|violin|cornet|sax|cellular telephone|reflex camera|laptop|television|computer keyboard|Granny Smith|orange|banana|strawberry|broccoli|cauliflower|cowboy hat|running shoe|sweatshirt|jean|trench coat|pizza,24960,0.052603753774504484,0.0024351509205508283,0.05244467407464981,0.055773213505744934,0.05675218254327774,0.059810198843479156,0.04767313227057457,0.05981029197573662
20260822,50,tabby|Labrador retriever|tiger|lion|African elephant|sports car|convertible|school bus|airliner|mountain bike|minivan|pickup|motor scooter|folding chair|rocking chair|desk|dining table|table lamp|acoustic guitar|grand piano|violin|cornet|sax|cellular telephone|reflex camera|laptop|television|computer keyboard|Granny Smith|orange|banana|strawberry|broccoli|cauliflower|cowboy hat|running shoe|sweatshirt|jean|trench coat|pizza|hotdog|cheeseburger|ice cream|burrito|mashed potato|traffic light|backpack|umbrella|bookcase|water bottle,24960,0.05292318266270181,0.002485439351085155,0.052860554307699203,0.05658407881855965,0.05778583139181137,0.059810198843479156,0.04767313227057457,0.05981029197573662
20260823,1,tabby,24960,0.04569251778121792,0.006033628447920078,0.04562991112470627,0.04915331304073334,0.049153443425893784,0.05616788566112518,4.203895392974451e-45,0.056168004870414734
20260823,5,tabby|Labrador retriever|tiger|lion|African elephant,24960,0.05035240152367176,0.0025793922327676713,0.050203315913677216,0.053160980343818665,0.05334923416376114,0.06427708268165588,0.043679580092430115,0.06427717953920364
20260823,10,tabby|Labrador retriever|tiger|lion|African elephant|sports car|convertible|school bus|airliner|mountain bike,24960,0.05125376322270873,0.0025134597793066457,0.050668418407440186,0.05334923416376114,0.05578491799533354,0.06427708268165588,0.046849433332681656,0.06427717953920364
20260823,20,tabby|Labrador retriever|tiger|lion|African elephant|sports car|convertible|school bus|airliner|mountain bike|minivan|pickup|motor scooter|folding chair|rocking chair|desk|dining table|table lamp|acoustic guitar|grand piano,24960,0.05157841638981317,0.002622512468762743,0.05152696743607521,0.05491260439157486,0.05616091936826706,0.06427708268165588,0.046849433332681656,0.06427717953920364
