seed,n,projection,layer_index,target_concept,mi_count,mi_mean,mi_std,mi_median,mi_p90,mi_p95,mi_p99,mi_min,mi_max,mi_unique_count,mi_unique_values,theoretical_no_tie_unique_count,enumerated_no_tie_unique_count,fraction_exact_repo_max,fraction_numerically_at_ln2,channels_with_threshold_ties,alpha_mean,alpha_std,alpha_median,alpha_p90,alpha_p95,alpha_p99,alpha_min,alpha_max
20260820,5,to_v,0,golden retriever,320,0.6832252050284296,0.07242885972883026,0.6931471228599548,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.020135551691055298,0.6931471824645996,5,"[0.02013555,0.19274479,0.19274481,0.69314712,0.69314718]",3,3,0.496875,0.98125,8,0.008070421818410977,0.0011173434398208226,0.008224619552493095,0.008224647492170334,0.008224647492170334,0.008224647492170334,0.0,0.008224647492170334
20260820,10,to_v,0,golden retriever,320,0.6826556555810385,0.07378135536509432,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,5,"[0.0,0.00505942,0.19274479,0.36806422,0.69314718]",6,6,0.978125,0.978125,18,0.008263264741981403,0.0012376794096142746,0.00844806618988514,0.00844806618988514,0.00844806618988514,0.00844806618988514,0.0,0.00844806618988514
20260820,20,to_v,0,golden retriever,320,0.680392386415042,0.0761230442506124,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.00500839576125145,0.6931471824645996,6,"[0.0050084,0.08228286,0.36806422,0.49463192,0.49463195,0.69314718]",11,11,0.965625,0.965625,21,0.009280319104444374,0.0017537175988177967,0.00961068645119667,0.00961068645119667,0.00961068645119667,0.00961068645119667,9.80908925027372e-45,0.00961068645119667
20260820,50,to_v,0,golden retriever,320,0.6795940133160912,0.07615777061193806,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,14,"[0.0,0.01629537,0.06627773,0.36806411,0.39102107,0.41437787,0.44007868,0.46617964,0.46617967,0.52520299,0.5599556,0.59510815,0.64392769,0.69314718]",26,26,0.95625,0.95625,37,0.009682923996616083,0.0020717446945887415,0.010125365108251572,0.010125365108251572,0.010125365108251572,0.010125365108251572,5.605193857299268e-45,0.010125365108251572
20260820,5,to_v,0,labrador retriever,320,0.6800432341056876,0.08866897884918795,0.6931471228599548,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.020135551691055298,0.6931471824645996,5,"[0.02013555,0.02013556,0.19274481,0.69314712,0.69314718]",3,3,0.4625,0.978125,11,0.008503276473493315,0.0012736285880732003,0.008693431504070759,0.008693461306393147,0.008693461306393147,0.008693461306393147,1.1499976692119589e-37,0.008693461306393147
20260820,10,to_v,0,labrador retriever,320,0.6735398421762511,0.10053614200355102,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,7,"[0.0,0.02013555,0.02013556,0.08228286,0.19274481,0.36806422,0.69314718]",6,6,0.959375,0.959375,12,0.010571647834149203,0.002178837410134471,0.011019307188689709,0.011019307188689709,0.011019307188689709,0.011019307188689709,5.594921942259627e-34,0.011019307188689709
20260820,20,to_v,0,labrador retriever,320,0.6734910767409019,0.09755577254574088,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,12,"[0.0,0.00125366,0.0050084,0.02100591,0.10529696,0.2704381,0.31800061,0.36806422,0.43009755,0.49463192,0.49463195,0.69314718]",11,11,0.953125,0.953125,22,0.01084116907865545,0.0024079722160131128,0.011374341323971748,0.011374341323971748,0.011374341323971748,0.011374341323971748,5.425969424912886e-35,0.011374341323971748
20260820,50,to_v,0,labrador retriever,320,0.6732397520288942,0.09801880948072367,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,16,"[0.0,0.00020006,0.00180182,0.06639709,0.10019382,0.19274485,0.25347728,0.28818375,0.36806411,0.39102107,0.41437787,0.46617967,0.52520299,0.55995554,0.59510815,0.69314718]",26,26,0.946875,0.946875,26,0.01085553738835086,0.002574829492622601,0.01146447379142046,0.01146447379142046,0.01146447379142046,0.01146447379142046,8.110753752386613e-35,0.01146447379142046
20260820,5,to_v,0,tabby,320,0.6852739095571451,0.07058644163639066,0.6931471228599548,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.020135555416345596,0.6931471824645996,4,"[0.02013556,0.19274481,0.69314712,0.69314718]",3,3,0.459375,0.9875,11,0.007113587384810671,0.0008015945816116336,0.007203618064522743,0.00720364972949028,0.00720364972949028,0.00720364972949028,0.0,0.00720364972949028
20260820,10,to_v,0,tabby,320,0.683209718670696,0.06808245998317056,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.08228285610675812,0.6931471824645996,5,"[0.08228286,0.19274481,0.27539614,0.36806422,0.69314718]",6,6,0.978125,0.978125,16,0.008424332525464706,0.0012618042906866063,0.008612736128270626,0.008612736128270626,0.008612736128270626,0.008612736128270626,1.5414283107572988e-44,0.008612736128270626
20260820,20,to_v,0,tabby,320,0.683005069650244,0.06817232814779595,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.031667452305555344,0.6931471824645996,6,"[0.03166745,0.19274481,0.2704381,0.43009755,0.49463192,0.69314718]",11,11,0.975,0.975,17,0.008519030548632248,0.0013662731061141716,0.008737467229366302,0.008737467229366302,0.008737467229366302,0.008737467229366302,0.0,0.008737467229366302
20260820,50,to_v,0,tabby,320,0.6830161187215709,0.06984121184883581,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.03972894325852394,0.6931471824645996,8,"[0.03972894,0.06627772,0.17929199,0.19274485,0.28818375,0.44483253,0.59510815,0.69314718]",26,26,0.971875,0.971875,25,0.008331843701064611,0.0014195769431544281,0.008572956547141075,0.008572956547141075,0.008572956547141075,0.008572956547141075,0.0,0.008572956547141075
20260820,5,to_v,0,tiger cat,320,0.6800432349322364,0.08866897958759862,0.6931471228599548,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.020135551691055298,0.6931471824645996,6,"[0.02013555,0.02013556,0.19274479,0.19274481,0.69314712,0.69314718]",3,3,0.478125,0.978125,11,0.008503306534839794,0.0012736330906950204,0.008693461306393147,0.008693492040038109,0.008693492040038109,0.008693492040038109,1.1499976692119589e-37,0.008693492040038109
20260820,10,to_v,0,tiger cat,320,0.6798378271516412,0.08606141593547273,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,6,"[0.0,0.08228286,0.19274479,0.19274481,0.36806422,0.69314718]",6,6,0.975,0.975,16,0.008778112381696701,0.0014078243763888604,0.00900319218635559,0.00900319218635559,0.00900319218635559,0.00900319218635559,6.195869185981465e-40,0.00900319218635559
20260820,20,to_v,0,tiger cat,320,0.6768487445660867,0.09071623710625877,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.00500839576125145,0.6931471824645996,8,"[0.0050084,0.00550867,0.08228286,0.13081205,0.2704381,0.36806422,0.49463192,0.69314718]",11,11,0.9625,0.9625,16,0.009828704433446443,0.001943082259506109,0.0102116409689188,0.0102116409689188,0.0102116409689188,0.0102116409689188,1.7436083258133463e-37,0.0102116409689188
20260820,50,to_v,0,tiger cat,320,0.6766248259897111,0.09346433233376401,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.00020680297166109085,0.6931471824645996,12,"[0.0002068,0.00501044,0.00721738,0.01285515,0.08228284,0.25347728,0.3469432,0.36806411,0.46617967,0.52520299,0.59510815,0.69314718]",26,26,0.9625,0.9625,27,0.009688208072573477,0.001915204632686704,0.010065650567412376,0.010065650567412376,0.010065650567412376,0.010065650567412376,1.1998673480096556e-36,0.010065650567412376
20260820,5,to_v,0,orange,320,0.6868921240791679,0.05568298958864299,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.19274480640888214,0.6931471824645996,3,"[0.19274481,0.69314712,0.69314718]",3,3,0.50625,0.9875,6,0.007143289825762622,0.0008049416011915359,0.007233730051666498,0.007233730051666498,0.007233730051666498,0.007233730051666498,8.407790785948902e-45,0.007233730051666498
20260820,10,to_v,0,orange,320,0.6871589074493386,0.055201739791932394,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.020135555416345596,0.6931471824645996,5,"[0.02013556,0.19274481,0.27539614,0.36806422,0.69314718]",6,6,0.9875,0.9875,14,0.006999886006815359,0.0007887821418858836,0.0070884921588003635,0.0070884921588003635,0.0070884921588003635,0.0070884921588003635,0.0,0.0070884921588003635
20260820,20,to_v,0,orange,320,0.6856546334107406,0.06308754974579853,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.00500839576125145,0.6931471824645996,6,"[0.0050084,0.10529696,0.19274481,0.2704381,0.49463195,0.69314718]",11,11,0.984375,0.984375,19,0.007364942182903181,0.0009293487406102987,0.007481846027076244,0.007481846027076244,0.007481846027076244,0.007481846027076244,0.0,0.007481846027076244
20260820,50,to_v,0,orange,320,0.6837467095465399,0.06658535775903056,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.009836222976446152,0.6931471824645996,7,"[0.00983622,0.10994207,0.19274485,0.41437787,0.52520299,0.59510815,0.69314718]",26,26,0.971875,0.971875,26,0.00816761627613444,0.00139160056224142,0.008403977379202843,0.008403977379202843,0.008403977379202843,0.008403977379202843,0.0,0.008403977379202843
20260820,5,to_v,0,lemon,320,0.6805826404481194,0.08509494039126499,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.020135555416345596,0.6931471824645996,4,"[0.02013556,0.19274479,0.69314712,0.69314718]",3,3,0.50625,0.978125,13,0.008497571115731262,0.0012727740343237031,0.00868762657046318,0.00868762657046318,0.00868762657046318,0.00868762657046318,3.004686587980702e-39,0.00868762657046318
20260820,10,to_v,0,lemon,320,0.6771701257675886,0.09215685453749059,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,5,"[0.0,0.08228286,0.19274479,0.36806422,0.69314718]",6,6,0.96875,0.96875,10,0.009586108440998942,0.0017244124044801348,0.009895337745547295,0.009895337745547295,0.009895337745547295,0.009895337745547295,3.3806856824213884e-37,0.009895337745547295
20260820,20,to_v,0,lemon,320,0.6775097018107772,0.09136547119241777,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.020135551691055298,0.6931471824645996,7,"[0.02013555,0.04570058,0.13081205,0.19274479,0.36806422,0.49463192,0.69314718]",11,11,0.96875,0.96875,14,0.00948025201819811,0.0017053702517099455,0.009786066599190235,0.009786066599190235,0.009786066599190235,0.009786066599190235,1.9430771310213935e-36,0.009786066599190235
20260820,50,to_v,0,lemon,320,0.6775998114258982,0.09085727056060346,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0008001811802387238,0.6931471824645996,10,"[0.00080018,0.06639709,0.07408028,0.08228284,0.10019382,0.14206725,0.28818375,0.36806411,0.46617967,0.69314718]",26,26,0.96875,0.96875,26,0.009478608175420327,0.0017050745477308314,0.009784369729459286,0.009784369729459286,0.009784369729459286,0.009784369729459286,1.0656159598454042e-37,0.009784369729459286
