seed,m,ordered_prefix,mi_count,mi_mean,mi_std,mi_median,mi_p90,mi_p95,mi_p99,mi_min,mi_max,fraction_mi_numerically_at_ln2,alpha_mean,alpha_std,alpha_median,alpha_p90,alpha_p95,alpha_p99,alpha_min,alpha_max,fraction_alpha_equal_1
20260820,1,tabby,24960,0.685018099127606,0.06798931874812211,0.6931471228599548,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,0.9854166666666667,0.9882722247429998,0.09808785487111865,0.9999999403953552,1.0,1.0,1.0,0.0,1.0,0.9854166666666667
20260820,5,tabby|Labrador retriever|tiger|lion|African elephant,24960,0.6931471705126265,2.386558750709442e-08,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471228599548,0.6931471824645996,1.0,0.9999999880480269,2.386558750709442e-08,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,1.0
20260820,10,tabby|Labrador retriever|tiger|lion|African elephant|sports car|convertible|school bus|airliner|mountain bike,24960,0.6931471765136872,1.7869008261917124e-08,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471228599548,0.6931471824645996,1.0,0.9999999940490876,1.7869008261917124e-08,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,1.0
20260820,20,tabby|Labrador retriever|tiger|lion|African elephant|sports car|convertible|school bus|airliner|mountain bike|minivan|pickup|motor scooter|folding chair|rocking chair|desk|dining table|table lamp|acoustic guitar|grand piano,24960,0.6931471790688543,1.381588789097816e-08,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471228599548,0.6931471824645996,1.0,0.9999999966042546,1.381588789097816e-08,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,1.0
20260820,30,tabby|Labrador retriever|tiger|lion|African elephant|sports car|convertible|school bus|airliner|mountain bike|minivan|pickup|motor scooter|folding chair|rocking chair|desk|dining table|table lamp|acoustic guitar|grand piano|violin|cornet|sax|cellular telephone|reflex camera|laptop|television|computer keyboard|Granny Smith|orange,24960,0.6931471798712244,1.2159668365004658e-08,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471228599548,0.6931471824645996,1.0,0.9999999974066248,1.2159668365004658e-08,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,1.0
20260820,40,tabby|Labrador retriever|tiger|lion|African elephant|sports car|convertible|school bus|airliner|mountain bike|minivan|pickup|motor scooter|folding chair|rocking chair|desk|dining table|table lamp|acoustic guitar|grand piano|violin|cornet|sax|cellular telephone|reflex camera|laptop|television|computer keyboard|Granny Smith|orange|banana|strawberry|broccoli|cauliflower|cowboy hat|running shoe|sweatshirt|jean|trench coat|pizza,24960,0.6931471804873302,1.0674709124466298e-08,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471228599548,0.6931471824645996,1.0,0.9999999980227305,1.0674709124466298e-08,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,1.0
20260820,50,tabby|Labrador retriever|tiger|lion|African elephant|sports car|convertible|school bus|airliner|mountain bike|minivan|pickup|motor scooter|folding chair|rocking chair|desk|dining table|table lamp|acoustic guitar|grand piano|violin|cornet|sax|cellular telephone|reflex camera|laptop|television|computer keyboard|Granny Smith|orange|banana|strawberry|broccoli|cauliflower|cowboy hat|running shoe|sweatshirt|jean|trench coat|pizza|hotdog|cheeseburger|ice cream|burrito|mashed potato|traffic light|backpack|umbrella|bookcase|water bottle,24960,0.6931471807309069,1.0016709647994686e-08,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471228599548,0.6931471824645996,1.0,0.9999999982663073,1.0016709647994686e-08,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,1.0
20260821,1,tabby,24960,0.6853047599330938,0.06729496503451432,0.6931471228599548,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,0.9862580128205128,0.9886857888802366,0.09708611415956468,0.9999999403953552,1.0,1.0,1.0,0.0,1.0,0.9862580128205128
20260821,5,tabby|Labrador retriever|tiger|lion|African elephant,24960,0.6931471705341187,2.3849496700193225e-08,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471228599548,0.6931471824645996,1.0,0.9999999880695191,2.3849496700193225e-08,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,1.0
20260821,10,tabby|Labrador retriever|tiger|lion|African elephant|sports car|convertible|school bus|airliner|mountain bike,24960,0.6931471765160752,1.786582019804343e-08,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471228599548,0.6931471824645996,1.0,0.9999999940514755,1.786582019804343e-08,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,1.0
