space_type,space_label,layer_id,layer_index,layer_name,animal,matched_eot_margin,matched_fixed_margin,oce_last_to_eot_margin,oce_minus_matched_eot_margin,matched_eot_rank,matched_fixed_rank,oce_last_to_eot_rank
W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,horse,0.06726223230361938,0.01704317331314087,0.05146735906600952,-0.015794873237609863,1,1,1
W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,cat,0.03538024425506592,0.003382742404937744,0.04266822338104248,0.0072879791259765625,1,1,1
W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,dog,0.02626824378967285,0.01671546697616577,0.020811259746551514,-0.005456984043121338,1,1,1
W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,fox,-0.012000560760498047,-0.008189201354980469,0.005840957164764404,0.01784151792526245,2,4,1
W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,bear,0.015501260757446289,-0.006898999214172363,0.025884687900543213,0.010383427143096924,1,2,1
W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,wolf,0.028934955596923828,-0.0021666288375854492,-0.01693856716156006,-0.04587352275848389,1,2,2
W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,rabbit,-0.02627122402191162,-0.0007096529006958008,0.0024076104164123535,0.028678834438323975,6,2,1
W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,deer,0.02776879072189331,-0.011069536209106445,0.030667364597320557,0.002898573875427246,1,6,1
W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,horse,0.05167829990386963,0.014860153198242188,0.045092105865478516,-0.006586194038391113,1,1,1
W0,L4,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,cat,0.13668465614318848,0.016594886779785156,0.1588776707649231,0.02219301462173462,1,1,1
W0,L4,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,dog,0.12028253078460693,0.030767858028411865,0.16382044553756714,0.043537914752960205,1,1,1
W0,L4,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,fox,-0.02041703462600708,0.0016551017761230469,-0.015290498733520508,0.005126535892486572,2,1,2
W0,L4,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,bear,-0.040994465351104736,-0.0079193115234375,-0.022082924842834473,0.018911540508270264,2,2,3
W0,L4,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,wolf,0.10571563243865967,0.02322256565093994,0.0969008207321167,-0.008814811706542969,1,1,1
W0,L4,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,rabbit,0.029263734817504883,0.008623003959655762,0.0341343879699707,0.00487065315246582,1,1,1
W0,L4,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,deer,0.1218603253364563,0.012289822101593018,0.12460321187973022,0.0027428865432739258,1,1,1
W0,L4,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,horse,0.1699047088623047,0.03473609685897827,0.16733461618423462,-0.0025700926780700684,1,1,1
W0,L5,layer_05,5,unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,cat,0.12096893787384033,0.01891481876373291,0.14646971225738525,0.025500774383544922,1,1,1
W0,L5,layer_05,5,unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,dog,0.15973693132400513,0.028950154781341553,0.17883509397506714,0.01909816265106201,1,1,1
W0,L5,layer_05,5,unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,fox,-0.03852272033691406,0.0004075169563293457,-0.03755199909210205,0.0009707212448120117,3,1,4
W0,L5,layer_05,5,unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,bear,-0.02341306209564209,-0.008684694766998291,-0.0015659928321838379,0.021847069263458252,2,3,2
W0,L5,layer_05,5,unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,wolf,0.1321260929107666,0.021330058574676514,0.11444276571273804,-0.017683327198028564,1,1,1
W0,L5,layer_05,5,unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,rabbit,0.03303438425064087,0.010600507259368896,-0.02121025323867798,-0.05424463748931885,1,1,2
W0,L5,layer_05,5,unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,deer,0.12639474868774414,0.01210087537765503,0.12589949369430542,-0.0004952549934387207,1,1,1
W0,L5,layer_05,5,unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,horse,0.22614306211471558,0.04831051826477051,0.25194334983825684,0.02580028772354126,1,1,1
W0,L6,layer_06,6,unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,cat,0.16881060600280762,0.027982115745544434,0.16246765851974487,-0.006342947483062744,1,1,1
W0,L6,layer_06,6,unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,dog,0.11584508419036865,0.02419757843017578,0.20578455924987793,0.08993947505950928,1,1,1
W0,L6,layer_06,6,unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,fox,-0.01719188690185547,-0.003445446491241455,-0.02488309144973755,-0.00769120454788208,3,4,2
W0,L6,layer_06,6,unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,bear,-0.039073824882507324,-0.011057436466217041,0.006611049175262451,0.045684874057769775,3,3,1
W0,L6,layer_06,6,unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,wolf,0.11875951290130615,0.018868207931518555,0.13550901412963867,0.01674950122833252,1,1,1
W0,L6,layer_06,6,unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,rabbit,0.06570696830749512,0.013160169124603271,0.04782533645629883,-0.01788163185119629,1,1,1
W0,L6,layer_06,6,unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,deer,0.13487178087234497,0.014800488948822021,0.1678544282913208,0.03298264741897583,1,1,1
W0,L6,layer_06,6,unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,horse,0.20413213968276978,0.040889203548431396,0.22517931461334229,0.02104717493057251,1,1,1
W0,L7,layer_07,7,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,cat,0.15663349628448486,0.03428596258163452,0.1976878046989441,0.04105430841445923,1,1,1
W0,L7,layer_07,7,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,dog,0.16240358352661133,0.02687251567840576,0.2173129916191101,0.05490940809249878,1,1,1
W0,L7,layer_07,7,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,fox,-0.040514230728149414,8.976459503173828e-05,-0.02641308307647705,0.014101147651672363,3,1,3
W0,L7,layer_07,7,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,bear,-0.03370523452758789,-0.008590340614318848,-0.026624977588653564,0.007080256938934326,2,3,2
W0,L7,layer_07,7,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,wolf,0.14646565914154053,0.01706063747406006,0.12881314754486084,-0.017652511596679688,1,1,1
W0,L7,layer_07,7,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,rabbit,0.06226319074630737,0.012828409671783447,0.06700342893600464,0.004740238189697266,1,1,1
W0,L7,layer_07,7,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,deer,0.1527349352836609,0.01688671112060547,0.17716717720031738,0.024432241916656494,1,1,1
W0,L7,layer_07,7,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,horse,0.22775620222091675,0.048134565353393555,0.24018102884292603,0.012424826622009277,1,1,1
W0,L8,layer_08,8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,cat,0.15709412097930908,0.022174954414367676,0.20853447914123535,0.05144035816192627,1,1,1
W0,L8,layer_08,8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,dog,0.13827526569366455,0.029826462268829346,0.17833447456359863,0.04005920886993408,1,1,1
W0,L8,layer_08,8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,fox,-0.04147219657897949,-0.003384530544281006,-0.02967315912246704,0.011799037456512451,2,2,3
W0,L8,layer_08,8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,bear,-0.008392930030822754,-0.017789840698242188,-0.02334892749786377,-0.014955997467041016,2,6,2
W0,L8,layer_08,8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,wolf,0.11213487386703491,0.016701340675354004,0.12221145629882812,0.010076582431793213,1,1,1
W0,L8,layer_08,8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,rabbit,0.040420353412628174,0.010091662406921387,0.04402428865432739,0.0036039352416992188,1,1,1
W0,L8,layer_08,8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,deer,0.13793057203292847,0.004976511001586914,0.18507075309753418,0.04714018106460571,1,1,1
W0,L8,layer_08,8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,horse,0.1730976700782776,0.03378438949584961,0.17992311716079712,0.006825447082519531,1,1,1
W0,L9,layer_09,9,unet.up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,cat,0.09240949153900146,0.01504284143447876,0.11338210105895996,0.020972609519958496,1,1,1
W0,L9,layer_09,9,unet.up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,dog,0.06315386295318604,0.029255986213684082,0.11448514461517334,0.051331281661987305,1,1,1
W0,L9,layer_09,9,unet.up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,fox,-0.06061631441116333,-0.0030961036682128906,-0.043272972106933594,0.017343342304229736,5,3,3
W0,L9,layer_09,9,unet.up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,bear,0.00399857759475708,-0.023512184619903564,0.032794833183288574,0.028796255588531494,1,6,1
W0,L9,layer_09,9,unet.up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,wolf,0.08668285608291626,0.018989861011505127,0.08436620235443115,-0.0023166537284851074,1,1,1
W0,L9,layer_09,9,unet.up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,rabbit,0.03233325481414795,0.01264500617980957,0.01859074831008911,-0.013742506504058838,1,1,1
W0,L9,layer_09,9,unet.up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,deer,0.07655084133148193,0.004647731781005859,0.1265355944633484,0.049984753131866455,1,1,1
