condition,condition_label,cross_readout,space_type,space_label,layer_id,layer_index,layer_name,rank1_count_out_of_8,mean_margin,median_margin,minimum_margin,animal_with_minimum_margin,mean_own_centroid_distance
matched_fixed,Matched fixed suffix,False,W0,L8,layer_08,8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,6,0.012047618627548218,0.013396501541137695,-0.017789840698242188,bear,0.1557215303182602
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L8,layer_08,8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,6,0.10813456028699875,0.15027296543121338,-0.02967315912246704,fox,0.7238387987017632
matched_eot,Matched EOT,False,W0,L9,layer_09,9,unet.up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,7,0.05391713231801987,0.06985235214233398,-0.06061631441116333,fox,0.44607461243867874
matched_fixed,Matched fixed suffix,False,W0,L9,layer_09,9,unet.up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,6,0.01069021224975586,0.013843923807144165,-0.023512184619903564,bear,0.1280140057206154
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L9,layer_09,9,unet.up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,7,0.07192125171422958,0.09887415170669556,-0.043272972106933594,fox,0.7823123782873154
matched_eot,Matched EOT,False,W0,L10,layer_10,10,unet.up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,6,0.06794226169586182,0.09042438864707947,-0.12615644931793213,bear,0.34160757064819336
matched_fixed,Matched fixed suffix,False,W0,L10,layer_10,10,unet.up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,4,0.009984873235225677,0.0048542320728302,-0.00977236032485962,bear,0.1288502737879753
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L10,layer_10,10,unet.up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,5,0.07618021219968796,0.07587012648582458,-0.018861711025238037,fox,0.6114715710282326
matched_eot,Matched EOT,False,W0,L11,layer_11,11,unet.up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,6,0.04689991474151611,0.07331153750419617,-0.04056870937347412,bear,0.44720977544784546
matched_fixed,Matched fixed suffix,False,W0,L11,layer_11,11,unet.up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,4,9.212642908096313e-05,-0.0009930729866027832,-0.025868356227874756,bear,0.12977652251720428
