condition,condition_label,cross_readout,space_type,space_label,layer_id,layer_index,layer_name,animal,own_centroid_cosine_distance,nearest_other_concept,nearest_other_cosine_distance,margin,own_centroid_rank,rank1_own_centroid
matched_fixed,Matched fixed suffix,False,W0,L0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,rabbit,0.15200352668762207,cat,0.13771218061447144,-0.014291346073150635,5,False
matched_fixed,Matched fixed suffix,False,W0,L0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,deer,0.1532684564590454,dog,0.14177703857421875,-0.01149141788482666,6,False
matched_fixed,Matched fixed suffix,False,W0,L0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,horse,0.13260769844055176,dog,0.14408379793167114,0.011476099491119385,1,True
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,cat,0.872750461101532,fox,0.8870057463645935,0.014255285263061523,1,True
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,dog,0.7667447328567505,cat,0.7858498096466064,0.019105076789855957,1,True
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,fox,0.9748451113700867,cat,0.9730134606361389,-0.001831650733947754,2,False
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,bear,0.8554730415344238,wolf,0.868039608001709,0.012566566467285156,1,True
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,wolf,0.8295877575874329,fox,0.8231228590011597,-0.006464898586273193,2,False
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,rabbit,0.8454490303993225,bear,0.8339595198631287,-0.011489510536193848,3,False
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,deer,0.8333565592765808,fox,0.864197313785553,0.030840754508972168,1,True
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,horse,0.86684250831604,deer,0.8899622559547424,0.023119747638702393,1,True
matched_eot,Matched EOT,False,W0,L1,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,cat,0.5565223693847656,fox,0.6171648502349854,0.06064248085021973,1,True
matched_eot,Matched EOT,False,W0,L1,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,dog,0.5632085800170898,cat,0.5410570502281189,-0.022151529788970947,2,False
matched_eot,Matched EOT,False,W0,L1,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,fox,0.5769544839859009,cat,0.5758122205734253,-0.001142263412475586,2,False
matched_eot,Matched EOT,False,W0,L1,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,bear,0.5635056495666504,cat,0.5144160985946655,-0.04908955097198486,8,False
matched_eot,Matched EOT,False,W0,L1,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,wolf,0.5590707063674927,cat,0.5449367165565491,-0.014133989810943604,2,False
matched_eot,Matched EOT,False,W0,L1,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,rabbit,0.49475085735321045,cat,0.46511369943618774,-0.029637157917022705,2,False
matched_eot,Matched EOT,False,W0,L1,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,deer,0.48366880416870117,cat,0.48338574171066284,-0.0002830624580383301,2,False
matched_eot,Matched EOT,False,W0,L1,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,horse,0.49263161420822144,cat,0.5026555061340332,0.010023891925811768,1,True
matched_fixed,Matched fixed suffix,False,W0,L1,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,cat,0.28585362434387207,dog,0.2778250575065613,-0.008028566837310791,4,False
