representation,space_type,layer_id,layer_index,layer_name,clustering_method,concept,recall
eot,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,bear,0.28
eot,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,wolf,0.7
eot,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,rabbit,0.42
eot,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,deer,0.58
eot,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,horse,0.4
fixed_suffix,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,cat,0.56
fixed_suffix,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,dog,0.4
fixed_suffix,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,fox,0.34
fixed_suffix,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,bear,0.18
fixed_suffix,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,wolf,0.54
fixed_suffix,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,rabbit,0.3
fixed_suffix,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,deer,0.54
fixed_suffix,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,horse,0.58
fixed_suffix,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,cat,0.6
fixed_suffix,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,dog,0.48
fixed_suffix,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,fox,0.12
fixed_suffix,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,bear,0.24
fixed_suffix,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,wolf,0.72
fixed_suffix,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,rabbit,0.42
fixed_suffix,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,deer,0.52
fixed_suffix,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,horse,0.6
fixed_suffix,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,cat,0.62
fixed_suffix,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,dog,0.24
fixed_suffix,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,fox,0.1
fixed_suffix,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,bear,0.6
fixed_suffix,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,wolf,0.34
fixed_suffix,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,rabbit,0.54
fixed_suffix,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,deer,0.72
fixed_suffix,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,horse,0.74
eot,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,cat,0.34
eot,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,dog,0.38
eot,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,fox,0.3
eot,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,bear,0.6
eot,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,wolf,0.16
eot,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,rabbit,0.48
eot,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,deer,0.54
eot,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,horse,0.4
eot,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,cat,0.42
eot,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,dog,0.42
eot,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,fox,0.04
eot,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,bear,0.44
eot,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,wolf,0.3
eot,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,rabbit,0.44
eot,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,deer,0.34
eot,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,horse,0.72
eot,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,cat,0.56
eot,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,dog,0.46
eot,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,fox,0.28
eot,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,bear,0.4
eot,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,wolf,0.24
eot,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,rabbit,0.5
eot,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,deer,0.56
eot,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,horse,0.24
fixed_suffix,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,cat,0.36
fixed_suffix,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,dog,0.14
fixed_suffix,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,fox,0.22
fixed_suffix,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,bear,0.34
fixed_suffix,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,wolf,0.26
fixed_suffix,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,rabbit,0.5
fixed_suffix,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,deer,0.5
fixed_suffix,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,horse,0.46
fixed_suffix,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,cat,0.22
fixed_suffix,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,dog,0.32
fixed_suffix,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,fox,0.2
fixed_suffix,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,bear,0.4
fixed_suffix,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,wolf,0.38
