space_type,layer_id,layer_index,layer_name,normalization_stage,representation,concept,vector_type,count,vector_dimension,mean_norm,std_norm,min_norm,max_norm
text,text,-1,text_space,raw_before_row_l2,name_eot,deer,name,1,768,28.878713607788086,0.0,28.878713607788086,28.878713607788086
text,text,-1,text_space,raw_before_row_l2,name_eot,horse,name,1,768,28.93967056274414,0.0,28.93967056274414,28.93967056274414
text,text,-1,text_space,raw_before_row_l2,name_fixed,cat,name,1,768,27.908679962158203,0.0,27.908679962158203,27.908679962158203
text,text,-1,text_space,raw_before_row_l2,name_fixed,dog,name,1,768,27.90176773071289,0.0,27.90176773071289,27.90176773071289
text,text,-1,text_space,raw_before_row_l2,name_fixed,fox,name,1,768,27.930330276489258,0.0,27.930330276489258,27.930330276489258
text,text,-1,text_space,raw_before_row_l2,name_fixed,bear,name,1,768,27.733078002929688,0.0,27.733078002929688,27.733078002929688
text,text,-1,text_space,raw_before_row_l2,name_fixed,wolf,name,1,768,27.83171844482422,0.0,27.83171844482422,27.83171844482422
text,text,-1,text_space,raw_before_row_l2,name_fixed,rabbit,name,1,768,27.71853256225586,0.0,27.71853256225586,27.71853256225586
text,text,-1,text_space,raw_before_row_l2,name_fixed,deer,name,1,768,27.79541778564453,0.0,27.79541778564453,27.79541778564453
text,text,-1,text_space,raw_before_row_l2,name_fixed,horse,name,1,768,27.933961868286133,0.0,27.933961868286133,27.933961868286133
W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,cat,description,50,320,12.861385345458984,0.6040147542953491,10.773042678833008,13.82645034790039
W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,dog,description,50,320,13.290069580078125,0.66791832447052,12.12519359588623,14.870362281799316
W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,fox,description,50,320,12.668715476989746,0.7037396430969238,10.787516593933105,13.966400146484375
W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,bear,description,50,320,13.078369140625,0.6642075777053833,11.097941398620605,14.53720760345459
W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,wolf,description,50,320,13.228001594543457,0.6362592577934265,11.954448699951172,14.207451820373535
W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,rabbit,description,50,320,12.638233184814453,0.6490345001220703,11.26070499420166,14.062113761901855
W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,deer,description,50,320,13.074520111083984,0.6418610215187073,11.614336013793945,14.648054122924805
W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,horse,description,50,320,13.19183349609375,0.5931389927864075,11.884868621826172,14.284623146057129
W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,cat,description,50,320,11.265904426574707,0.2848287522792816,10.591654777526855,11.827455520629883
W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,dog,description,50,320,11.329505920410156,0.302067369222641,10.7588529586792,12.087706565856934
W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,fox,description,50,320,11.165562629699707,0.2608722448348999,10.611144065856934,11.690632820129395
W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,bear,description,50,320,11.113119125366211,0.2607734799385071,10.59631633758545,11.88458251953125
W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,wolf,description,50,320,11.103804588317871,0.25627660751342773,10.591482162475586,11.698103904724121
W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,rabbit,description,50,320,11.248915672302246,0.3135926127433777,10.46956729888916,12.077437400817871
W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,deer,description,50,320,11.208244323730469,0.29322853684425354,10.41270637512207,11.800856590270996
W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,horse,description,50,320,11.294236183166504,0.3714028000831604,10.518294334411621,12.197638511657715
W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_last,cat,name,1,320,14.638398170471191,0.0,14.638398170471191,14.638398170471191
W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_last,dog,name,1,320,12.994525909423828,0.0,12.994525909423828,12.994525909423828
W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_last,fox,name,1,320,13.436020851135254,0.0,13.436020851135254,13.436020851135254
