representation,space_type,layer_id,layer_index,layer_name,clustering_method,normalization,ari,nmi,matched_accuracy,silhouette,silhouette_metric,cluster_sizes,objective,inertia,iterations,converged,best_initialization,input_norm_min,input_norm_max,center_norm_min,center_norm_max,centers_normalized_during_fit,labels_available_to_fit
eot,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,row_l2,0.3713586042545052,0.4959526193271442,0.63,0.07751049101352692,cosine,"[56, 46, 46, 43, 54, 39, 39, 77]",325.6278256593781,,16,True,3.0,0.9999999403953552,1.0,0.9999999999999999,1.0,True,False
eot,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,none,0.5072757548669836,0.6048424044080443,0.7275,0.04173599183559418,euclidean,"[39, 37, 47, 45, 55, 47, 47, 83]",,54667.7109375,17,True,,17.250268936157227,23.498428344726562,15.199684656582031,17.33061120583083,False,False
eot,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,row_l2,0.40896682660505884,0.5365094392330854,0.6725,0.04377637803554535,euclidean,"[36, 90, 41, 54, 45, 48, 49, 37]",,134.92547607421875,10,True,,0.9999999403953552,1.0,0.7941776838264889,0.8287867834757772,False,False
fixed_suffix,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,row_l2,0.40354238406104115,0.517215655156091,0.6275,0.0754355639219284,cosine,"[79, 35, 42, 60, 52, 58, 44, 30]",381.34684637486015,,19,True,6.0,0.9999999403953552,1.0,0.9999999999999999,1.0,True,False
fixed_suffix,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,none,0.3744481252733165,0.4901510222707638,0.585,0.03918769210577011,euclidean,"[38, 72, 47, 37, 43, 49, 52, 62]",,10315.1904296875,16,True,,15.69605827331543,18.135147094726562,15.762192004785682,16.325148905234183,False,False
fixed_suffix,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,row_l2,0.3245041885530872,0.455180326867323,0.5475,0.04110048711299896,euclidean,"[50, 86, 52, 33, 48, 52, 40, 39]",,36.53664016723633,13,True,,0.9999999403953552,1.0,0.9497294791301458,0.956988295100873,False,False
eot,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,row_l2,0.2644088375972156,0.3889460370529415,0.4675,0.07330059260129929,cosine,"[44, 53, 40, 28, 66, 37, 56, 76]",339.3784091422334,,13,True,17.0,0.9999999403953552,1.0,0.9999999999999999,1.0,True,False
eot,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,none,0.41509808402391063,0.5218376163281077,0.6025,0.03837110474705696,euclidean,"[56, 41, 44, 58, 48, 41, 41, 71]",,33196.8984375,17,True,,14.211699485778809,22.026395797729492,13.687265964540684,15.744103822297214,False,False
eot,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,row_l2,0.43854708232129597,0.5250587391231355,0.675,0.04227973893284798,euclidean,"[47, 37, 68, 42, 56, 43, 47, 60]",,111.96308135986328,10,True,,0.9999999403953552,1.0,0.8319382252783344,0.8654044543624873,False,False
fixed_suffix,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,row_l2,0.2739918802827475,0.39805011991390876,0.535,0.07436870038509369,cosine,"[46, 74, 62, 65, 37, 52, 36, 28]",381.0896610644997,,19,True,4.0,0.9999999403953552,1.0,0.9999999999999999,1.0,True,False
fixed_suffix,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,none,0.23039045114303056,0.3448069699758129,0.4675,0.03534887358546257,euclidean,"[36, 60, 57, 55, 46, 47, 51, 48]",,7754.58935546875,24,True,,13.137314796447754,17.095243453979492,13.268517159066295,14.310745194803143,False,False
fixed_suffix,W0,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,row_l2,0.3552533307634857,0.43517320187135383,0.6325,0.04075166583061218,euclidean,"[62, 42, 56, 41, 54, 61, 51, 33]",,36.97023391723633,14,True,,0.9999999403953552,1.0,0.9499549695139278,0.9571085460314785,False,False
eot,W0,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,row_l2,0.6239893924387075,0.724180001344695,0.755,0.09648829698562622,cosine,"[47, 50, 54, 59, 66, 28, 50, 46]",286.14097373143625,,25,True,49.0,0.9999999403953552,1.0,0.9999999999999999,1.0,True,False
eot,W0,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,none,0.6514648946561331,0.7022437380605588,0.8175,0.04985930770635605,euclidean,"[57, 63, 51, 46, 47, 51, 45, 40]",,188073.21875,12,True,,27.585243225097656,33.918975830078125,20.69658406331767,23.27811654475419,False,False
eot,W0,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,row_l2,0.6203171179205066,0.696409344324278,0.785,0.05086299777030945,euclidean,"[33, 54, 49, 51, 57, 65, 53, 38]",,195.3009033203125,14,True,,0.9999999403953552,1.0,0.6706179435462496,0.7621153919537219,False,False
fixed_suffix,W0,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,row_l2,0.574702787434815,0.64051673170745,0.775,0.08637525886297226,cosine,"[48, 50, 34, 50, 71, 17, 57, 73]",373.16195084920173,,14,True,2.0,0.9999999403953552,1.0,0.9999999999999999,1.0,True,False
