seed_set_identifier,sample_index,seed
cifar10_fixed_42_241,187,229
cifar10_fixed_42_241,188,230
cifar10_fixed_42_241,189,231
cifar10_fixed_42_241,190,232
cifar10_fixed_42_241,191,233
cifar10_fixed_42_241,192,234
cifar10_fixed_42_241,193,235
cifar10_fixed_42_241,194,236
cifar10_fixed_42_241,195,237
cifar10_fixed_42_241,196,238
cifar10_fixed_42_241,197,239
cifar10_fixed_42_241,198,240
cifar10_fixed_42_241,199,241
