pair,order,variant,stage,class,number_of_generated_samples,accuracy,seed_set_identifier,checkpoint_identifier
airplane|cat,airplane->cat,retain_previous_second,2,dog,200,1.0,cifar10_fixed_42_241,482486732071c01ae59851f1cc04a1a2168875cbe831cdfea8b6ba02285dc0d6
airplane|cat,airplane->cat,retain_previous_second,2,frog,200,1.0,cifar10_fixed_42_241,482486732071c01ae59851f1cc04a1a2168875cbe831cdfea8b6ba02285dc0d6
airplane|cat,airplane->cat,retain_previous_second,2,horse,200,1.0,cifar10_fixed_42_241,482486732071c01ae59851f1cc04a1a2168875cbe831cdfea8b6ba02285dc0d6
airplane|cat,airplane->cat,retain_previous_second,2,ship,200,1.0,cifar10_fixed_42_241,482486732071c01ae59851f1cc04a1a2168875cbe831cdfea8b6ba02285dc0d6
airplane|cat,airplane->cat,retain_previous_second,2,truck,200,1.0,cifar10_fixed_42_241,482486732071c01ae59851f1cc04a1a2168875cbe831cdfea8b6ba02285dc0d6
airplane|cat,cat->airplane,stage1,1,airplane,200,1.0,cifar10_fixed_42_241,5968ba0ef24547b1aec488b303db5bd8b831f2559bdea4dbc4d67d67a20c42b7
airplane|cat,cat->airplane,stage1,1,automobile,200,1.0,cifar10_fixed_42_241,5968ba0ef24547b1aec488b303db5bd8b831f2559bdea4dbc4d67d67a20c42b7
airplane|cat,cat->airplane,stage1,1,bird,200,1.0,cifar10_fixed_42_241,5968ba0ef24547b1aec488b303db5bd8b831f2559bdea4dbc4d67d67a20c42b7
airplane|cat,cat->airplane,stage1,1,cat,200,0.0,cifar10_fixed_42_241,5968ba0ef24547b1aec488b303db5bd8b831f2559bdea4dbc4d67d67a20c42b7
airplane|cat,cat->airplane,stage1,1,deer,200,1.0,cifar10_fixed_42_241,5968ba0ef24547b1aec488b303db5bd8b831f2559bdea4dbc4d67d67a20c42b7
airplane|cat,cat->airplane,stage1,1,dog,200,1.0,cifar10_fixed_42_241,5968ba0ef24547b1aec488b303db5bd8b831f2559bdea4dbc4d67d67a20c42b7
airplane|cat,cat->airplane,stage1,1,frog,200,1.0,cifar10_fixed_42_241,5968ba0ef24547b1aec488b303db5bd8b831f2559bdea4dbc4d67d67a20c42b7
airplane|cat,cat->airplane,stage1,1,horse,200,1.0,cifar10_fixed_42_241,5968ba0ef24547b1aec488b303db5bd8b831f2559bdea4dbc4d67d67a20c42b7
airplane|cat,cat->airplane,stage1,1,ship,200,1.0,cifar10_fixed_42_241,5968ba0ef24547b1aec488b303db5bd8b831f2559bdea4dbc4d67d67a20c42b7
airplane|cat,cat->airplane,stage1,1,truck,200,1.0,cifar10_fixed_42_241,5968ba0ef24547b1aec488b303db5bd8b831f2559bdea4dbc4d67d67a20c42b7
airplane|cat,cat->airplane,baseline_second,2,airplane,200,0.02,cifar10_fixed_42_241,45ec2357ed6cbbb5c6ff5bf1f611f7146a3256109b881abb01e52f1a9453f718
airplane|cat,cat->airplane,baseline_second,2,automobile,200,1.0,cifar10_fixed_42_241,45ec2357ed6cbbb5c6ff5bf1f611f7146a3256109b881abb01e52f1a9453f718
airplane|cat,cat->airplane,baseline_second,2,bird,200,1.0,cifar10_fixed_42_241,45ec2357ed6cbbb5c6ff5bf1f611f7146a3256109b881abb01e52f1a9453f718
airplane|cat,cat->airplane,baseline_second,2,cat,200,0.0,cifar10_fixed_42_241,45ec2357ed6cbbb5c6ff5bf1f611f7146a3256109b881abb01e52f1a9453f718
airplane|cat,cat->airplane,baseline_second,2,deer,200,1.0,cifar10_fixed_42_241,45ec2357ed6cbbb5c6ff5bf1f611f7146a3256109b881abb01e52f1a9453f718
airplane|cat,cat->airplane,baseline_second,2,dog,200,1.0,cifar10_fixed_42_241,45ec2357ed6cbbb5c6ff5bf1f611f7146a3256109b881abb01e52f1a9453f718
airplane|cat,cat->airplane,baseline_second,2,frog,200,1.0,cifar10_fixed_42_241,45ec2357ed6cbbb5c6ff5bf1f611f7146a3256109b881abb01e52f1a9453f718
airplane|cat,cat->airplane,baseline_second,2,horse,200,1.0,cifar10_fixed_42_241,45ec2357ed6cbbb5c6ff5bf1f611f7146a3256109b881abb01e52f1a9453f718
airplane|cat,cat->airplane,baseline_second,2,ship,200,1.0,cifar10_fixed_42_241,45ec2357ed6cbbb5c6ff5bf1f611f7146a3256109b881abb01e52f1a9453f718
airplane|cat,cat->airplane,baseline_second,2,truck,200,1.0,cifar10_fixed_42_241,45ec2357ed6cbbb5c6ff5bf1f611f7146a3256109b881abb01e52f1a9453f718
airplane|cat,cat->airplane,retain_previous_second,2,airplane,200,0.02,cifar10_fixed_42_241,78d1b1bd178ba8a0b2b4b7a727ea59b55a0047f198642afaf9c7e9d937cf64b1
airplane|cat,cat->airplane,retain_previous_second,2,automobile,200,1.0,cifar10_fixed_42_241,78d1b1bd178ba8a0b2b4b7a727ea59b55a0047f198642afaf9c7e9d937cf64b1
airplane|cat,cat->airplane,retain_previous_second,2,bird,200,1.0,cifar10_fixed_42_241,78d1b1bd178ba8a0b2b4b7a727ea59b55a0047f198642afaf9c7e9d937cf64b1
airplane|cat,cat->airplane,retain_previous_second,2,cat,200,0.0,cifar10_fixed_42_241,78d1b1bd178ba8a0b2b4b7a727ea59b55a0047f198642afaf9c7e9d937cf64b1
airplane|cat,cat->airplane,retain_previous_second,2,deer,200,1.0,cifar10_fixed_42_241,78d1b1bd178ba8a0b2b4b7a727ea59b55a0047f198642afaf9c7e9d937cf64b1
airplane|cat,cat->airplane,retain_previous_second,2,dog,200,1.0,cifar10_fixed_42_241,78d1b1bd178ba8a0b2b4b7a727ea59b55a0047f198642afaf9c7e9d937cf64b1
airplane|cat,cat->airplane,retain_previous_second,2,frog,200,1.0,cifar10_fixed_42_241,78d1b1bd178ba8a0b2b4b7a727ea59b55a0047f198642afaf9c7e9d937cf64b1
airplane|cat,cat->airplane,retain_previous_second,2,horse,200,1.0,cifar10_fixed_42_241,78d1b1bd178ba8a0b2b4b7a727ea59b55a0047f198642afaf9c7e9d937cf64b1
airplane|cat,cat->airplane,retain_previous_second,2,ship,200,1.0,cifar10_fixed_42_241,78d1b1bd178ba8a0b2b4b7a727ea59b55a0047f198642afaf9c7e9d937cf64b1
airplane|cat,cat->airplane,retain_previous_second,2,truck,200,1.0,cifar10_fixed_42_241,78d1b1bd178ba8a0b2b4b7a727ea59b55a0047f198642afaf9c7e9d937cf64b1
automobile|bird,automobile->bird,stage1,1,airplane,200,1.0,cifar10_fixed_42_241,8e341e9ecb493768a17497adb153ad9ee53faee6adb4cbb7f16a0443e5391f14
automobile|bird,automobile->bird,stage1,1,automobile,200,0.9,cifar10_fixed_42_241,8e341e9ecb493768a17497adb153ad9ee53faee6adb4cbb7f16a0443e5391f14
automobile|bird,automobile->bird,stage1,1,bird,200,1.0,cifar10_fixed_42_241,8e341e9ecb493768a17497adb153ad9ee53faee6adb4cbb7f16a0443e5391f14
automobile|bird,automobile->bird,stage1,1,cat,200,1.0,cifar10_fixed_42_241,8e341e9ecb493768a17497adb153ad9ee53faee6adb4cbb7f16a0443e5391f14
automobile|bird,automobile->bird,stage1,1,deer,200,1.0,cifar10_fixed_42_241,8e341e9ecb493768a17497adb153ad9ee53faee6adb4cbb7f16a0443e5391f14
automobile|bird,automobile->bird,stage1,1,dog,200,1.0,cifar10_fixed_42_241,8e341e9ecb493768a17497adb153ad9ee53faee6adb4cbb7f16a0443e5391f14
automobile|bird,automobile->bird,stage1,1,frog,200,1.0,cifar10_fixed_42_241,8e341e9ecb493768a17497adb153ad9ee53faee6adb4cbb7f16a0443e5391f14
automobile|bird,automobile->bird,stage1,1,horse,200,1.0,cifar10_fixed_42_241,8e341e9ecb493768a17497adb153ad9ee53faee6adb4cbb7f16a0443e5391f14
automobile|bird,automobile->bird,stage1,1,ship,200,1.0,cifar10_fixed_42_241,8e341e9ecb493768a17497adb153ad9ee53faee6adb4cbb7f16a0443e5391f14
automobile|bird,automobile->bird,stage1,1,truck,200,1.0,cifar10_fixed_42_241,8e341e9ecb493768a17497adb153ad9ee53faee6adb4cbb7f16a0443e5391f14
