projection,layer_index,target_index,target_concept,raw_cos2_finite,raw_cos2_non_constant,raw_cos2_min,raw_cos2_p01,raw_cos2_median,raw_cos2_mean,raw_cos2_std,raw_cos2_rms,raw_cos2_p95,raw_cos2_p99,raw_cos2_max,raw_cos2_top_1pct_weight_share,raw_cos2_top_5pct_weight_share,v1_alpha_finite,v1_alpha_non_constant,v1_alpha_min,v1_alpha_p01,v1_alpha_median,v1_alpha_mean,v1_alpha_std,v1_alpha_rms,v1_alpha_p95,v1_alpha_p99,v1_alpha_max,v1_alpha_top_1pct_weight_share,v1_alpha_top_5pct_weight_share,official_alpha_finite,official_alpha_non_constant,official_alpha_min,official_alpha_p01,official_alpha_median,official_alpha_mean,official_alpha_std,official_alpha_rms,official_alpha_p95,official_alpha_p99,official_alpha_max,official_alpha_top_1pct_weight_share,official_alpha_top_5pct_weight_share,v1_to_raw_mean_ratio
to_v,0,0,golden retriever,True,True,4.0000511236648606e-10,5.536953148066459e-07,0.00036284005909692496,0.0014450313672158994,0.004663723350374546,0.004875496016321217,0.004147482244297863,0.02689865721389653,0.05924053490161896,0.32259767080155977,0.5257356161094646,True,True,0.0005475468933582306,0.000547998858965002,0.0009298479999415576,0.026838544810198074,0.13025832525295813,0.13279501567238547,0.05499902684241537,0.9953678768873215,1.0,0.4651740513151956,0.8712555418939649,True,True,0.0,0.006674924399703741,0.006674954202026129,0.00661236197774997,0.0006442690427985933,0.006643577077988833,0.006674954202026129,0.006674954202026129,0.006674954202026129,0.01261832425479499,0.05047329701917996,18.572984240409347
to_v,0,1,labrador retriever,True,True,8.13980341463072e-11,2.7314611132922546e-08,0.00035892444429919124,0.0013928088975208933,0.004383720308752128,0.004593132616600019,0.004521072050556542,0.026709010545164367,0.044243890792131424,0.32504534118136186,0.5287197825990422,True,True,0.0005182750173844397,0.0005182976234937086,0.0009065615013241768,0.028258296969579533,0.13464765589251412,0.1373749116918847,0.0850512124598027,0.9954216891527177,0.9999933242797852,0.4421118387281326,0.8623120863314612,True,True,3.004664167205273e-39,3.505330624072968e-29,0.008687560446560383,0.008497537291259506,0.0012727689681162608,0.00859203227108705,0.008687597699463367,0.008687597699463367,0.008687597699463367,0.012779581603600841,0.051118326414403364,20.288710834542638
to_v,0,2,tabby,True,True,2.0016370783082493e-08,2.641924189106248e-07,0.0004146883584326133,0.0015778429862248699,0.004891921632841147,0.005132806415314619,0.004853732371702791,0.02632363542914392,0.05324751138687134,0.3180108134402754,0.5139706718016223,True,True,0.0005011060275137424,0.0005012818239629269,0.0008950030023697764,0.027726979733597546,0.1332011284865562,0.13585242211963078,0.07421612367033965,0.9918190884590149,0.9999980330467224,0.4502520787794708,0.8678358690313589,True,True,0.0,2.4457567347836313e-34,0.008224619552493095,0.008070420857984572,0.0011173433068502896,0.008147161927024117,0.008224647492170334,0.008224647492170334,0.008224647492170334,0.012738876380952883,0.050955505523811534,17.57271159149797
to_v,0,3,tiger cat,True,True,1.0701790564837665e-09,4.9667395565222704e-08,0.00043199292849749327,0.0015727714801218623,0.004773249474186119,0.0050185975083738765,0.004996969550848008,0.027034940887242565,0.05678197741508484,0.3057972045346155,0.4973409855521699,True,True,0.00047720540896989405,0.00047723982424940914,0.000887716916622594,0.027306045556542813,0.13070955796453038,0.13333123444272604,0.08602254427969461,0.9954954916238785,0.9999990463256836,0.4572291799691716,0.8407575993918245,True,True,0.0,3.56360961450007e-37,0.007718841079622507,0.007598250322917011,0.0009587888396330396,0.007658316477600768,0.007718874607235193,0.007718874607235193,0.007718874607235193,0.012698440889665034,0.05079376355866014,17.361737481676023
to_v,0,4,orange,True,True,1.85274373620814e-08,3.205817534990274e-07,0.0004707232001237571,0.0016302260793470192,0.004503172785598693,0.0047825549333684455,0.006004015891812743,0.023481160439550886,0.048564910888671875,0.2765579328115863,0.48427206668029765,True,True,0.0003788589092437178,0.00037904130644164977,0.0007840262842364609,0.03408322774812404,0.14350105234284283,0.14727479999022355,0.1681065760552884,0.9900888985395432,0.9999971389770508,0.3661658928022394,0.8299854134495398,True,True,8.407790785948902e-45,0.0013744013663381334,0.007233730051666498,0.007143289825762622,0.0008049416011915378,0.007188358347484907,0.007233730051666498,0.007233730051666498,0.007233730051666498,0.012658260808587276,0.050633043234349105,20.907055886246127
to_v,0,5,lemon,True,True,8.702611964395146e-10,9.938369110784606e-08,0.0004641204286599532,0.0017163088396354247,0.004778589071586838,0.005070430991874872,0.00673295720480383,0.01889219699427486,0.052481722086668015,0.26995845945325825,0.5003026949929179,True,True,0.000386654632166028,0.00038671161513775587,0.0007602514524478465,0.03731454412818493,0.15504047132898882,0.15923192398727956,0.19962917268276262,0.9524077987670899,0.9999980330467224,0.3315736061461902,0.8523330028366267,True,True,2.5177243854478677e-37,9.717175534188802e-28,0.00916303601115942,0.008933945704484358,0.0014328167599037954,0.009047758518332037,0.00916303601115942,0.00916303601115942,0.00916303601115942,0.012820533494176138,0.05128213397670455,21.741159438479162
to_v,0,6,yawl,True,True,3.3027852675004965e-10,3.877755045778031e-07,0.0005131778598297387,0.0016444794391043197,0.004095915781686595,0.004407767243432078,0.006956460117362441,0.018920582905411723,0.04191732034087181,0.23078651666415675,0.4714552160668183,True,True,0.0002847293217200786,0.00028492633340647443,0.0006904648325871676,0.043828520054466934,0.16685866513765235,0.17226650177130493,0.31181792765855804,0.9805478930473328,0.9999933242797852,0.2837346761107594,0.8111502550716952,True,True,3.993700623325729e-43,4.6171807673038827e-32,0.008716902695596218,0.008526238377089611,0.0012770678432066631,0.008621052520979978,0.008716939948499203,0.008716939948499203,0.008716939948499203,0.01277958045942337,0.05111832183769348,26.65191124453251
to_v,0,7,lifeboat,True,True,3.9799498807724376e-08,8.478095054442746e-08,0.0004958535137120634,0.0017365574484184743,0.004612489593597586,0.004921809368455789,0.005329717486165467,0.027496854821220076,0.048277053982019424,0.27132547030681115,0.47766938650659874,True,True,0.0003414403472561389,0.00034146459453040736,0.000725240504834801,0.03631670763343209,0.1490744319566877,0.15320783941910016,0.10302300155162829,0.9709955430030827,0.999995231628418,0.344068605198125,0.8453806690918867,True,True,3.993700623325729e-43,4.617145502473358e-32,0.00871692132204771,0.008526239075581542,0.0012770679478273986,0.00862105322723933,0.008716939948499203,0.008716939948499203,0.008716939948499203,0.012779579412486525,0.0511183176499461,20.91304705554464
to_v,0,8,soccer ball,True,True,7.181181871374065e-09,1.7194971619005628e-07,0.0005954290099907666,0.0016995933762795068,0.004144778644708082,0.00447371464104817,0.005862044636160138,0.024106819890439512,0.038698017597198486,0.2348550765531549,0.44896812111791057,True,True,0.0002674184797797352,0.0002674962536548264,0.000738332950277254,0.038614524429613085,0.15237998723986465,0.1569655394315865,0.181038407981396,0.9964604437351227,0.999977171421051,0.3232927484324022,0.8123026642966711,True,True,1.1499976692119589e-37,1.000500379961426e-28,0.008693461306393147,0.008503277684212662,0.0012736287694160389,0.008597836498800507,0.008693461306393147,0.008693461306393147,0.008693461306393147,0.012779573990823537,0.05111829596329415,22.71986050813058
to_v,0,9,volleyball,True,True,6.067927937891682e-09,8.032891805953568e-08,0.0006166750972624868,0.0017093174737519493,0.004111110890874461,0.004446367352207251,0.006374759180471303,0.026415514536201966,0.03547478839755058,0.23432206324866478,0.45419800144276173,True,True,0.00025639787781983614,0.00025643213710282,0.0007412261911667883,0.040088173675667346,0.1581014893105632,0.16286506635244602,0.2362305015325548,0.997746656537056,0.9999361038208008,0.31170059248044696,0.8133903552597044,True,True,1.1500165026633194e-37,1.0005039477466632e-28,0.008693461306393147,0.008503302681492641,0.0012736325134983049,0.008597861774052267,0.008693484589457512,0.008693484589457512,0.008693484589457512,0.012779570649029699,0.051118282596118794,23.452737300856036
to_v,1,0,golden retriever,True,True,4.781760054584083e-08,3.885537086034674e-07,0.0003321644035167992,0.000715493510816878,0.0010420154696988615,0.0012626694301620038,0.0026415049447678033,0.004804489966481924,0.00889421347528696,0.10821218767127547,0.2889896047940502,True,True,3.0604773201048374e-05,3.068806003284408e-05,0.0003632811567513272,0.07224798265875734,0.19968753479673684,0.2120619551637076,0.5762627243995667,0.9707581055164337,0.9998922348022461,0.17088537907422513,0.5819595652151918,True,True,0.0,0.006674912758171558,0.006674912758171558,0.006612354359822348,0.0006442683007111356,0.006643569424114383,0.006674954202026129,0.006674954202026129,0.006674954202026129,0.0126183387920499,0.0504733551681996,100.97643314231028
to_v,1,1,labrador retriever,True,True,8.460126821319136e-09,1.9224308800858125e-07,0.00027398241218179464,0.0006481872733676731,0.0010241546887771466,0.0012106864903091473,0.0024538697325624534,0.004234927110373974,0.009037138894200325,0.12208749480875784,0.3134172768611318,True,True,4.759949661092833e-05,4.766899619426113e-05,0.0003699425869854167,0.06662414281341852,0.19523321324101298,0.2059992025092145,0.5379823267459873,0.9474547618627549,0.999934196472168,0.18347304751985177,0.632795392670644,True,True,3.004664167205273e-39,3.5053571056097036e-29,0.008687597699463367,0.008497568589518778,0.0012727736559437076,0.008592063917383602,0.00868762657046318,0.00868762657046318,0.00868762657046318,0.01277957700332485,0.0511183080132994,102.78533002857513
to_v,1,2,tabby,True,True,2.7286040094054442e-09,3.8719751564997295e-08,0.0002730128908297047,0.0005791697968706294,0.0007802962639619073,0.0009707714553894619,0.0022859828895889223,0.003724122925195843,0.004393414128571749,0.08876869014420907,0.27015713337276615,True,True,1.9177698050043546e-05,1.9185216933692574e-05,0.0003043540345970541,0.0813953861182199,0.21643122619627883,0.2309140572110788,0.7088833808898927,0.9750853604078293,0.9926110506057739,0.1514734844195607,0.5376633051573593,True,True,3.693193130668418e-32,3.693218697670548e-32,0.010094691999256611,0.009779247856931761,0.0017591555964039628,0.009935725758387014,0.010094725526869297,0.010094725526869297,0.010094725526869297,0.012903248893157358,0.05161299557262943,140.53803661381428
to_v,1,3,tiger cat,True,True,1.442977293208969e-09,9.330602509294294e-08,0.0003215173346688971,0.0006864283262035198,0.0008999533647622347,0.0011307382181910406,0.0025883298832923177,0.004306368585675956,0.005069343373179436,0.08475856332158549,0.25204804458387187,True,True,1.6104584574350156e-05,1.6118640105560188e-05,0.0002765572862699628,0.08868455521795796,0.2209712855954784,0.2377828230258025,0.682798457145691,0.9714108937978746,0.9924191832542419,0.13875933946167127,0.4849385461695611,True,True,1.1911036946760945e-43,1.818143283762174e-32,0.008205842226743698,0.008051966648781671,0.001114788336411981,0.00812853223804016,0.008205842226743698,0.008205842226743698,0.008205842226743698,0.012738878873748982,0.050955515494995926,129.19710890786257
to_v,1,4,orange,True,True,1.004450411734581e-10,6.481562036242394e-07,0.0005201423773542047,0.0010387191552778537,0.0013272432248177455,0.0016837479445600057,0.0040199313778430225,0.0055482992576435216,0.008179822005331516,0.07644468612893945,0.2437358234370074,True,True,1.3578369362221565e-05,1.3635599780172924e-05,0.0003080140013480559,0.08925576040601584,0.22243342313083617,0.23935037921364336,0.7284139573574067,0.9396234834194184,0.9963352084159851,0.1346612353830226,0.48544302586083216,True,True,0.0,0.0060631935484707355,0.0060631935484707355,0.006025324077927508,0.000478587660550887,0.006044241939537946,0.006063247565180063,0.006063247565180063,0.006063247565180063,0.012578675202283892,0.05031470080913557,85.92867470720729
to_v,1,5,lemon,True,True,7.006963897993046e-08,2.3374002296350225e-07,0.00039973045932129025,0.0010087327554362479,0.001457027332778194,0.001770264462820823,0.003798289236146957,0.006011008811183274,0.011551196686923504,0.09421382572129786,0.2817384149472708,True,True,2.9192367946961895e-05,2.9219708812888713e-05,0.0002523190778447315,0.08195162371044944,0.21196518576910242,0.22694692051662113,0.6047276169061662,0.9422410136461258,0.9997406005859375,0.14741609883336984,0.53159655938568,True,True,0.0,7.774507266753744e-35,0.007705377414822578,0.007584996399236843,0.0009571163869544034,0.007644957778189866,0.007705410942435265,0.007705410942435265,0.007705410942435265,0.012698441991367552,0.05079376796547021,81.2421558324511
to_v,1,6,yawl,True,True,5.031418837120327e-08,3.8724001910850347e-07,0.00046426143671851605,0.0008393091303920853,0.0011116922181212486,0.001391559320682696,0.003047489817254247,0.005056696245446802,0.007375058252364397,0.09308368281079692,0.26154814087947775,True,True,1.7213329556398094e-05,1.725787902614684e-05,0.0004514593747444451,0.0794252311726666,0.2092167393044191,0.22347980885191535,0.6341229945421224,0.9650441974401475,0.9982004165649414,0.1554244983307914,0.5360252734032697,True,True,0.0,0.006035549100488424,0.006035549100488424,0.005997847983962856,0.0004764052516231715,0.006016679578169727,0.006035592872649431,0.006035592872649431,0.006035592872649431,0.012578663398913031,0.050314653595652126,94.63167776521496
to_v,1,7,lifeboat,True,True,5.768583388743309e-09,2.185206592741906e-07,0.00028409206424839795,0.0007662330340159271,0.0011739272190225158,0.0014003255334003805,0.0033096591359935723,0.004826832176186144,0.007662131916731596,0.10573224805201649,0.3073338918778643,True,True,4.0487364458385855e-05,4.054756096593337e-05,0.00026614536182023585,0.07941329027423763,0.21762112395405514,0.231338339955215,0.7015699028968817,0.9446131306886673,0.9981880187988281,0.15473218603852684,0.5605711635486345,True,True,0.0,3.5635815885307835e-37,0.007718841079622507,0.007598215791222174,0.000958784482295572,0.00765828167293146,0.007718841079622507,0.007718841079622507,0.007718841079622507,0.012698443443360225,0.0507937737734409,103.64117278789487
to_v,1,8,soccer ball,True,True,1.089986323421499e-09,3.3699454888846956e-08,0.0004435793525772169,0.0008754443031830685,0.0010834344077260629,0.001391605053421551,0.0029944611946120885,0.004855383527465165,0.006420640740543604,0.07861692235433973,0.23991968656377666,True,True,1.0898772416112479e-05,1.0901625646511093e-05,0.00029081018874421716,0.08727597846097979,0.21289893178140634,0.22978556952108667,0.6215596973896036,0.9588681864738464,0.9946742057800293,0.14001558647219006,0.48833851707563247,True,True,1.1499976692119589e-37,1.000500379961426e-28,0.008693492040038109,0.008503307303180918,0.0012736332057778322,0.008597866447140733,0.008693492040038109,0.008693492040038109,0.008693492040038109,0.012779574655596133,0.05111829862238453,99.69335358474436
to_v,1,9,volleyball,True,True,1.5252050653263155e-13,2.1307669157977215e-07,0.00038848380791023374,0.000925469558742819,0.001293547477823038,0.0015888769707485693,0.0035531845525838446,0.006307521490380169,0.0067963083274662495,0.08952228770799378,0.2816181960517908,True,True,2.4046539692790247e-05,2.407984280580422e-05,0.0002579231950221583,0.08089519092349065,0.2136632309372318,0.2281520233162297,0.6519848078489306,0.9788495993614197,0.987857460975647,0.15222759264211888,0.547632243629557,True,True,1.1911036946760945e-43,1.818143283762174e-32,0.008205806836485863,0.008051965100457891,0.0011147881220485779,0.008128530674993584,0.008205842226743698,0.008205842226743698,0.008205842226743698,0.012738881323326054,0.050955525293304216,87.40988848231886
to_v,2,0,golden retriever,True,True,1.7334768603188833e-12,1.9213948249330317e-07,0.00042867510637734085,0.001141092960255807,0.002407026891882991,0.0026621079661336513,0.0037409650627523642,0.010645591188222185,0.026227077469229698,0.18161918882545425,0.3928073740166974,True,True,0.0001658767432672903,0.00016597705413005316,0.0006028097996022552,0.04482283485353946,0.16401352432606206,0.16990435766824977,0.21233072727918595,0.9706639659404758,0.9999971389770508,0.2431499674032158,0.7578688655461306,True,True,0.0,2.934629646560514e-36,0.007452733349055052,0.0073479476217471525,0.0008782379202470019,0.00740016425070196,0.007452772464603186,0.007452772464603186,0.007452772464603186,0.011093532919361672,0.05071329334565335,39.28061640437358
to_v,2,1,labrador retriever,True,True,1.2076425970342086e-10,8.188422206956147e-08,0.0003182498912792653,0.001088142053413506,0.0028087652397590724,0.0030101309746574036,0.004089963692240416,0.012484917836263798,0.03544241189956665,0.2264082727581874,0.4530287336885253,True,True,0.0003154839505441487,0.000315550685627386,0.0007004247745499015,0.03721862740690085,0.15107262079815753,0.15547508527798978,0.20748822614550583,0.9740036606788638,1.0,0.29242314461182894,0.8313019845701641,True,True,3.1792702606490274e-34,2.074708864592886e-25,0.010106735862791538,0.009790915658231824,0.001759875804460312,0.009947580256363118,0.010106770321726799,0.010106770321726799,0.010106770321726799,0.011290343442081102,0.05161299859237076,34.20383146680699
to_v,2,2,tabby,True,True,5.3124100674040164e-09,1.9624088324121676e-07,0.00033219580654986203,0.0010579339020914415,0.0025509890507829317,0.0027598190591290456,0.003924898128025233,0.013951552994549275,0.03262580558657646,0.21021124873954058,0.4207154645412433,True,True,0.0002584180037956685,0.00025856043765088544,0.0006523728661704808,0.039123286996164096,0.146146438301929,0.1511821415304797,0.23135262951254829,0.9941659480333328,1.0,0.2789827662263474,0.7629900233042247,True,True,0.0,2.187610340627291e-35,0.007206927984952927,0.00711685573332943,0.0008013351157725308,0.007161757476780368,0.0072069596499204636,0.0072069596499204636,0.0072069596499204636,0.011075975701158184,0.050633031776723125,36.98084248819404
to_v,2,3,tiger cat,True,True,2.0995728766681765e-10,4.984273207497836e-08,0.00038717644929420203,0.001211272443283546,0.0027973235662554345,0.003046304888514726,0.004317988199181847,0.01372529673390092,0.033049169927835464,0.20155180794100316,0.4262383248328644,True,True,0.00022571987938135862,0.0002257495945377741,0.0006085628701839596,0.041589619931824015,0.15927684338380246,0.16449671755257622,0.22554251924157026,0.9860477817058565,0.9999990463256836,0.2623990758483226,0.797987711460949,True,True,2.8029864896227164e-39,3.329986739698663e-29,0.008692704141139984,0.008502564043737948,0.0012725249935225016,0.00859711492244491,0.008692733943462372,0.008692733943462372,0.008692733943462372,0.011182130121871034,0.0511183091285533,34.335479323777804
