variant,unlearn_acc,preserve_acc,overall_acc
official,19.75,40.611111111111114,53.930360836589294
matched_retain,17.416666666666668,41.72222222222222,55.436945996275604
delta,-2.333333333333332,1.1111111111111072,1.5065851596863098
