group,official_unlearn_acc,matched_unlearn_acc,delta_unlearn_acc,official_preserve_acc,matched_preserve_acc,delta_preserve_acc,official_overall_acc,matched_overall_acc,delta_overall_acc
dogs,16.666666666666668,11.666666666666666,-5.000000000000002,46.111111111111114,47.5,1.3888888888888857,59.37052932761087,61.77914110429448,2.408611776683614
cats,27.916666666666668,30.416666666666668,2.5,19.444444444444443,21.38888888888889,1.9444444444444464,30.627212948912494,32.720101781170484,2.092888832257991
fruits,10.0,7.916666666666667,-2.083333333333333,18.61111111111111,18.61111111111111,0.0,30.843989769820972,30.964031785863654,0.12004201604268161
boats,20.833333333333332,20.0,-0.8333333333333321,91.94444444444444,93.33333333333333,1.3888888888888857,85.0784632034632,86.15384615384616,1.0753829503829593
balls,23.333333333333332,17.083333333333332,-6.25,26.944444444444443,27.77777777777778,0.8333333333333357,39.87488829311886,41.61438728565454,1.7394989925356796
