projection,layer_index,target_concept,channels,spearman_alpha,mean_raw_mi_official,mean_raw_mi_matched,top_1_percent_overlap,top_5_percent_overlap,top_10_percent_overlap
to_k,0,golden retriever,320,0.04613620786286416,0.677400670258794,0.32795945681864397,0.75,0.0,0.15625
to_k,0,labrador retriever,320,-0.09167719713658487,0.6863527197041549,0.321110567485448,0.25,0.25,0.375
to_k,0,lemon,320,-0.035155619410767815,0.6931471521034837,0.36802842816105114,0.25,0.0625,0.1875
to_k,0,lifeboat,320,-0.0002989830981098332,0.6837101534940302,0.33443230277625846,0.5,0.0625,0.09375
to_k,0,orange,320,-0.012243850740236812,0.6868921240326017,0.3905148902791552,0.5,0.0,0.0625
to_k,0,soccer ball,320,0.051822787327854176,0.6873770749429241,0.3390691229375079,0.5,0.0,0.0
to_k,0,tabby,320,0.07221809291614596,0.6810675892862491,0.42049855171935635,0.5,0.0625,0.09375
to_k,0,tiger cat,320,0.09038718421873718,0.6879164766171015,0.39477566711138934,0.5,0.125,0.21875
to_k,0,volleyball,320,-0.0064668283326818725,0.6826858020504005,0.438239283580333,0.75,0.0,0.03125
to_k,0,yawl,320,0.16850962377505235,0.6852739089285024,0.4237349738483317,0.25,0.1875,0.40625
to_k,1,golden retriever,320,0.06864981497707165,0.6900196379516274,0.2995446928194724,0.5,0.125,0.09375
to_k,1,labrador retriever,320,0.030738328128300622,0.6842495568678715,0.35913083399645984,0.0,0.0625,0.1875
to_k,1,lemon,320,0.050376898085407344,0.6816069924039766,0.3637676500133239,0.5,0.0625,0.21875
to_k,1,lifeboat,320,-0.010939685935899213,0.681606991798617,0.35918528992915527,0.5,0.0,0.125
to_k,1,orange,320,0.10577735848453357,0.6795582857914269,0.38496262743137777,0.25,0.0,0.15625
to_k,1,soccer ball,320,0.04313626980407981,0.6852739119203761,0.27338617339264604,0.0,0.125,0.09375
to_k,1,tabby,320,0.09738127319100857,0.6858133115340024,0.4451426269253716,0.5,0.0625,0.21875
to_k,1,tiger cat,320,0.1173555913739321,0.67901887872722,0.36166448979638516,0.0,0.0,0.09375
to_k,1,volleyball,320,0.15522771463742474,0.6805826404015534,0.4487006376264617,0.75,0.0,0.03125
to_k,1,yawl,320,0.3329024458703803,0.6858133147121407,0.48024805755121636,0.75,0.1875,0.375
to_k,2,golden retriever,640,0.07331521581615062,0.6874042998300866,0.3142344538122416,0.5714285714285714,0.15625,0.1875
to_k,2,labrador retriever,640,0.03381292871361118,0.6873770727135706,0.32639569985331035,0.42857142857142855,0.03125,0.0625
to_k,2,lemon,640,0.167455081200076,0.6884558805963025,0.3855811437941156,0.8571428571428571,0.1875,0.28125
to_k,2,lifeboat,640,0.008750775957525771,0.6876740012085065,0.3600488477910403,0.5714285714285714,0.03125,0.125
to_k,2,orange,640,0.10299201667224114,0.6826858018990606,0.3858508455916308,0.42857142857142855,0.0,0.109375
to_k,2,soccer ball,640,0.05683414816133119,0.6886983546195552,0.3406328794837464,0.42857142857142855,0.0,0.0625
to_k,2,tabby,640,0.10708870718874465,0.6873770743084606,0.4212259751104284,0.42857142857142855,0.0,0.015625
to_k,2,tiger cat,640,0.11592415426219906,0.6873770724167116,0.43047495271312075,0.2857142857142857,0.09375,0.21875
to_k,2,volleyball,640,0.0874271424894283,0.6871345964027569,0.41580727758118885,0.42857142857142855,0.09375,0.21875
to_k,2,yawl,640,-0.04247409594611543,0.6886983559234068,0.438484330533538,0.2857142857142857,0.25,0.4375
to_k,3,golden retriever,640,-0.005264800786939697,0.6834676792728714,0.3159343468665611,0.5714285714285714,0.03125,0.046875
to_k,3,labrador retriever,640,-0.04305546367136666,0.6871073708520271,0.331680830498226,0.42857142857142855,0.0625,0.125
to_k,3,lemon,640,0.09922945348096159,0.6871345982304774,0.38703599231666885,0.42857142857142855,0.03125,0.125
to_k,3,lifeboat,640,0.1576461913414552,0.6886983568081633,0.3796502713346854,0.42857142857142855,0.09375,0.21875
to_k,3,orange,640,-0.05399336534575323,0.6871345981722697,0.40173089340678414,0.2857142857142857,0.0,0.078125
to_k,3,soccer ball,640,0.014042079940362388,0.6913136948423926,0.3159615741285961,0.2857142857142857,0.0,0.015625
to_k,3,tabby,640,0.19230569800421932,0.6873770722537301,0.4124372909311205,0.14285714285714285,0.03125,0.109375
to_k,3,tiger cat,640,0.021620657592949056,0.6834676801343449,0.3709679251303896,0.2857142857142857,0.0,0.09375
to_k,3,volleyball,640,-0.004492695149396368,0.6881861797533929,0.4293144633702468,0.14285714285714285,0.25,0.3125
