prompt,token_ids,decoded_token_pieces,selected_token_index,selected_decoded_token,eot_index,eot_decoded_token,oce_repository_rule
cat,"[49406, 2368, 49407]","[""<|startoftext|>"", ""cat</w>"", ""<|endoftext|>""]",1,cat</w>,2,<|endoftext|>,"orthogonal-concept-erasure/oce.py OCE erasure entry point and unified-concept-editing/trainscripts/uce_sd_erase.py::UCE; last_token_idx = attention_mask.sum() - 2; vector = pipe.encode_prompt(...)[0][:, last_token_idx, :]"
dog,"[49406, 1929, 49407]","[""<|startoftext|>"", ""dog</w>"", ""<|endoftext|>""]",1,dog</w>,2,<|endoftext|>,"orthogonal-concept-erasure/oce.py OCE erasure entry point and unified-concept-editing/trainscripts/uce_sd_erase.py::UCE; last_token_idx = attention_mask.sum() - 2; vector = pipe.encode_prompt(...)[0][:, last_token_idx, :]"
