layer_id,layer_index,full_module_name,concept,matched_eot_own_rank,oce_last_to_eot_own_rank,matched_eot_margin,oce_last_to_eot_margin,matched_eot_rank1,oce_last_to_eot_rank1,rank1_status_changed
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,wolf,1,1,0.10571569798961489,0.09690084988690983,True,True,False
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,rabbit,1,1,0.029263754934429786,0.03413441394055905,True,True,False
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,deer,1,1,0.12186038676612454,0.12460322337978558,True,True,False
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,horse,1,1,0.1699047006143657,0.16733463361878642,True,True,False
layer_05,5,unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,cat,1,1,0.12096898180744564,0.14646969209211314,True,True,False
layer_05,5,unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,dog,1,1,0.15973687898703748,0.1788350884441936,True,True,False
layer_05,5,unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,fox,3,4,-0.03852267266263154,-0.03755198471700638,False,False,False
layer_05,5,unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,bear,2,2,-0.023413027241458773,-0.0015659858101650936,False,False,False
layer_05,5,unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,wolf,1,1,0.132126120415341,0.11444269845895738,True,True,False
layer_05,5,unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,rabbit,1,2,0.03303440967841109,-0.021210260589820562,True,False,True
layer_05,5,unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,deer,1,1,0.12639474620843882,0.1258994567439402,True,True,False
layer_05,5,unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,horse,1,1,0.2261431207275334,0.2519433344171611,True,True,False
layer_06,6,unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,cat,1,1,0.1688105448233086,0.16246762330271647,True,True,False
layer_06,6,unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,dog,1,1,0.11584514944132784,0.20578449746300365,True,True,False
layer_06,6,unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,fox,3,2,-0.01719188430945573,-0.024883087471467835,False,False,False
layer_06,6,unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,bear,3,1,-0.03907384996011354,0.006611042627810426,False,True,True
layer_06,6,unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,wolf,1,1,0.11875951566884968,0.1355090341858335,True,True,False
layer_06,6,unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,rabbit,1,1,0.06570698537949549,0.04782529225670473,True,True,False
layer_06,6,unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,deer,1,1,0.1348717717244683,0.1678544557107422,True,True,False
layer_06,6,unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,horse,1,1,0.20413214829763093,0.22517927027239648,True,True,False
layer_07,7,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,cat,1,1,0.15663351692562033,0.19768782035500132,True,True,False
layer_07,7,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,dog,1,1,0.1624035545651379,0.2173130204874223,True,True,False
layer_07,7,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,fox,3,3,-0.04051424908862267,-0.02641310746097647,False,False,False
layer_07,7,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,bear,2,2,-0.03370522872938053,-0.02662489771596388,False,False,False
layer_07,7,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,wolf,1,1,0.14646567355151563,0.12881311051474498,True,True,False
layer_07,7,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,rabbit,1,1,0.062263235662793015,0.06700339532950239,True,True,False
layer_07,7,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,deer,1,1,0.15273498006638309,0.17716722649824357,True,True,False
layer_07,7,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,horse,1,1,0.22775621136806923,0.24018102969574806,True,True,False
layer_08,8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,cat,1,1,0.15709403522079168,0.20853447333404673,True,True,False
layer_08,8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,dog,1,1,0.13827528536167588,0.1783345478217927,True,True,False
layer_08,8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,fox,2,3,-0.04147217147477844,-0.029673166889774172,False,False,False
layer_08,8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,bear,2,2,-0.008392932528439978,-0.023348926709470974,False,False,False
layer_08,8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,wolf,1,1,0.11213484170710963,0.12221152010439718,True,True,False
layer_08,8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,rabbit,1,1,0.04042032904846571,0.04402429797826046,True,True,False
layer_08,8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,deer,1,1,0.137930602954636,0.1850707454995385,True,True,False
layer_08,8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,horse,1,1,0.17309767244082175,0.17992307054592016,True,True,False
layer_09,9,unet.up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,cat,1,1,0.09240942644978811,0.11338209820138323,True,True,False
layer_09,9,unet.up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,dog,1,1,0.0631538268768499,0.11448509436457577,True,True,False
layer_09,9,unet.up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,fox,5,3,-0.0606163380295609,-0.04327297468649782,False,False,False
layer_09,9,unet.up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,bear,1,1,0.0039985790140648625,0.03279484343363204,True,True,False
layer_09,9,unet.up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,wolf,1,1,0.08668280579848542,0.0843661626617872,True,True,False
layer_09,9,unet.up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,rabbit,1,1,0.03233327222262705,0.018590787195996605,True,True,False
layer_09,9,unet.up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,deer,1,1,0.07655082209272401,0.12653564141128026,True,True,False
layer_09,9,unet.up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,horse,1,1,0.13682444406740413,0.12848837749756892,True,True,False
layer_10,10,unet.up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,cat,1,1,0.19999967739909152,0.2054411633751254,True,True,False
layer_10,10,unet.up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,dog,1,1,0.1486373037544092,0.16983175953431662,True,True,False
layer_10,10,unet.up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,fox,3,3,-0.02251990577604779,-0.018861664709179937,False,False,False
layer_10,10,unet.up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,bear,8,3,-0.12615645805002618,-0.008494962729477029,False,False,False
layer_10,10,unet.up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,wolf,1,1,0.10459987337932874,0.07745594423129143,True,True,False
layer_10,10,unet.up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,rabbit,1,2,0.006362541618332829,-0.0035343017508677743,True,False,True
layer_10,10,unet.up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,deer,1,1,0.07624898445240003,0.07428433577093607,True,True,False
layer_10,10,unet.up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,horse,1,1,0.15636601017273555,0.11331962069745116,True,True,False
layer_11,11,unet.up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,cat,1,1,0.07528790109501493,0.1198786279081504,True,True,False
layer_11,11,unet.up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,dog,1,1,0.0797285008924189,0.07701310657435911,True,True,False
layer_11,11,unet.up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,fox,4,3,-0.00713168953604737,-0.06541174640974634,False,False,False
layer_11,11,unet.up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,bear,5,2,-0.040568711447715344,-0.0011946968461635787,False,False,False
layer_11,11,unet.up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,wolf,1,1,0.09856389482712169,0.07987958992070066,True,True,False
layer_11,11,unet.up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,rabbit,1,1,0.01141289958775693,0.029068628149849007,True,True,False
layer_11,11,unet.up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,deer,1,1,0.07133517356787,0.09861829206613726,True,True,False
