layer_id,layer_index,representation,concept,sample_index,candidate_id,leave_one_out_own_centroid_cosine_distance
text_space_baseline,-1,eot,dog,201,slot_26__dog__r01__c001,0.3699616478314419
text_space_baseline,-1,eot,dog,209,slot_27__dog__r01__c001,0.3158988541334051
text_space_baseline,-1,eot,dog,217,slot_28__dog__r01__c001,0.3253804620071461
text_space_baseline,-1,eot,dog,225,slot_29__dog__r04__c241,0.40509319104861097
text_space_baseline,-1,eot,dog,233,slot_30__dog__r05__c323,0.3735102496500138
text_space_baseline,-1,eot,dog,241,slot_31__dog__r02__c082,0.3017129908922429
text_space_baseline,-1,eot,dog,249,slot_32__dog__r01__c001,0.30523351864499937
text_space_baseline,-1,eot,dog,257,slot_33__dog__r02__c081,0.35700059468526724
text_space_baseline,-1,eot,dog,265,slot_34__dog__r03__c162,0.4319968340923114
text_space_baseline,-1,eot,dog,273,slot_35__dog__r01__c002,0.331957659653604
text_space_baseline,-1,eot,dog,281,slot_36__dog__r01__c001,0.32681732526654206
text_space_baseline,-1,eot,dog,289,slot_37__dog__r01__c002,0.3190335135384794
text_space_baseline,-1,eot,dog,297,slot_38__dog__r02__c082,0.3208413915693904
text_space_baseline,-1,eot,dog,305,slot_39__dog__r03__c162,0.3190165176396713
text_space_baseline,-1,eot,dog,313,slot_40__dog__r03__c162,0.46854899199340694
text_space_baseline,-1,eot,dog,321,slot_41__dog__r02__c082,0.35786517960925934
text_space_baseline,-1,eot,dog,329,slot_42__dog__r01__c001,0.4656915759858222
text_space_baseline,-1,eot,dog,337,slot_43__dog__r01__c004,0.33953687376007746
text_space_baseline,-1,eot,dog,345,slot_44__dog__r01__c004,0.32884476555831577
text_space_baseline,-1,eot,dog,353,slot_45__dog__r01__c002,0.3510366317245289
text_space_baseline,-1,eot,dog,361,slot_46__dog__r01__c003,0.33161940235813336
text_space_baseline,-1,eot,dog,369,slot_47__dog__r01__c001,0.39877611019060555
text_space_baseline,-1,eot,dog,377,slot_48__dog__r01__c002,0.37564240236884494
text_space_baseline,-1,eot,dog,385,slot_49__dog__r01__c002,0.3985531929537771
text_space_baseline,-1,eot,dog,393,slot_50__dog__r01__c002,0.34252036224170657
text_space_baseline,-1,eot,fox,2,slot_01__fox__r02__c083,0.3226106093339758
text_space_baseline,-1,eot,fox,10,slot_02__fox__r01__c005,0.4417451537183583
text_space_baseline,-1,eot,fox,18,slot_03__fox__r02__c082,0.33394389092508847
text_space_baseline,-1,eot,fox,26,slot_04__fox__r01__c002,0.32388122647258855
text_space_baseline,-1,eot,fox,34,slot_05__fox__r02__c083,0.4034912600150835
text_space_baseline,-1,eot,fox,42,slot_06__fox__r15__c1123,0.3905364949341339
text_space_baseline,-1,eot,fox,50,slot_07__fox__r01__c001,0.41448027773747165
text_space_baseline,-1,eot,fox,58,slot_08__fox__r11__c802,0.41274215343828535
text_space_baseline,-1,eot,fox,66,slot_09__fox__r01__c002,0.3740719636849805
text_space_baseline,-1,eot,fox,74,slot_10__fox__r01__c002,0.37248794510667693
text_space_baseline,-1,eot,fox,82,slot_11__fox__r01__c001,0.43183569674671074
text_space_baseline,-1,eot,fox,90,slot_12__fox__r02__c081,0.38170050483847073
text_space_baseline,-1,eot,fox,98,slot_13__fox__r01__c002,0.31310935026620523
text_space_baseline,-1,eot,fox,106,slot_14__fox__r01__c002,0.3195394396530742
text_space_baseline,-1,eot,fox,114,slot_15__fox__r01__c001,0.35515524412661315
text_space_baseline,-1,eot,fox,122,slot_16__fox__r04__c246,0.3468441981038253
text_space_baseline,-1,eot,fox,130,slot_17__fox__r15__c1121,0.41303779551251496
text_space_baseline,-1,eot,fox,138,slot_18__fox__r04__c243,0.3751843965887718
text_space_baseline,-1,eot,fox,146,slot_19__fox__r02__c081,0.37217286486116186
text_space_baseline,-1,eot,fox,154,slot_20__fox__r07__c484,0.35846349895959906
text_space_baseline,-1,eot,fox,162,slot_21__fox__r01__c003,0.32746425246652855
text_space_baseline,-1,eot,fox,170,slot_22__fox__r02__c081,0.42016287647424144
text_space_baseline,-1,eot,fox,178,slot_23__fox__r04__c245,0.38074311603930955
text_space_baseline,-1,eot,fox,186,slot_24__fox__r06__c404,0.2843016782974557
text_space_baseline,-1,eot,fox,194,slot_25__fox__r05__c325,0.28585603810542426
text_space_baseline,-1,eot,fox,202,slot_26__fox__r01__c002,0.2703206530952077
text_space_baseline,-1,eot,fox,210,slot_27__fox__r05__c322,0.3544812699546098
text_space_baseline,-1,eot,fox,218,slot_28__fox__r04__c247,0.350057941713389
text_space_baseline,-1,eot,fox,226,slot_29__fox__r01__c002,0.33177698520771326
text_space_baseline,-1,eot,fox,234,slot_30__fox__r01__c002,0.3833282090997139
text_space_baseline,-1,eot,fox,242,slot_31__fox__r04__c243,0.3290575657797502
text_space_baseline,-1,eot,fox,250,slot_32__fox__r01__c002,0.37224505499213756
text_space_baseline,-1,eot,fox,258,slot_33__fox__r01__c001,0.38892313066775774
text_space_baseline,-1,eot,fox,266,slot_34__fox__r04__c246,0.2760017316165323
text_space_baseline,-1,eot,fox,274,slot_35__fox__r04__c241,0.33577407379682456
text_space_baseline,-1,eot,fox,282,slot_36__fox__r01__c002,0.2506589741623344
text_space_baseline,-1,eot,fox,290,slot_37__fox__r05__c322,0.3600741804615485
text_space_baseline,-1,eot,fox,298,slot_38__fox__r01__c002,0.4310639206211202
text_space_baseline,-1,eot,fox,306,slot_39__fox__r01__c002,0.45036514630276137
text_space_baseline,-1,eot,fox,314,slot_40__fox__r01__c001,0.3253214305057144
text_space_baseline,-1,eot,fox,322,slot_41__fox__r03__c162,0.33065530549097666
text_space_baseline,-1,eot,fox,330,slot_42__fox__r01__c001,0.45167480433240714
text_space_baseline,-1,eot,fox,338,slot_43__fox__r01__c002,0.275206221701805
text_space_baseline,-1,eot,fox,346,slot_44__fox__r04__c242,0.3168242769132231
text_space_baseline,-1,eot,fox,354,slot_45__fox__r04__c243,0.29046598140444924
text_space_baseline,-1,eot,fox,362,slot_46__fox__r01__c002,0.2797464037525106
text_space_baseline,-1,eot,fox,370,slot_47__fox__r05__c324,0.3953829072925682
text_space_baseline,-1,eot,fox,378,slot_48__fox__r02__c083,0.40818710417674664
text_space_baseline,-1,eot,fox,386,slot_49__fox__r04__c241,0.30454654903857836
text_space_baseline,-1,eot,fox,394,slot_50__fox__r04__c245,0.41675388386775336
text_space_baseline,-1,eot,bear,3,slot_01__bear__r04__c242,0.4004632505312714
text_space_baseline,-1,eot,bear,11,slot_02__bear__r01__c002,0.4591390424159205
text_space_baseline,-1,eot,bear,19,slot_03__bear__r01__c002,0.41026465868145845
text_space_baseline,-1,eot,bear,27,slot_04__bear__r01__c001,0.3664975096317399
text_space_baseline,-1,eot,bear,35,slot_05__bear__r01__c001,0.47827878425279113
text_space_baseline,-1,eot,bear,43,slot_06__bear__r04__c242,0.3611941131483718
text_space_baseline,-1,eot,bear,51,slot_07__bear__r05__c325,0.3345359977230161
text_space_baseline,-1,eot,bear,59,slot_08__bear__r04__c244,0.37669153731821603
text_space_baseline,-1,eot,bear,67,slot_09__bear__r08__c569,0.4278987428418306
text_space_baseline,-1,eot,bear,75,slot_10__bear__r09__c649,0.33867217977044284
