layer_id,layer_index,full_module_name,matrix_type,condition,condition_label,prototype_concept,nearest_centroid_concept,own_centroid_rank,own_centroid_cosine_distance,nearest_other_centroid_cosine_distance,margin,within_cluster_typicality_percentile,rank1_own_centroid,cross_readout
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,dog,dog,1,0.14193229453548017,0.15707804102785805,0.015145746492377876,100.0,True,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,fox,dog,4,0.17054429940249272,0.15330885685442186,-0.017235442548070856,100.0,False,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,bear,dog,4,0.1510973458369046,0.13612310004475925,-0.014974245792145346,100.0,False,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,wolf,dog,4,0.15189790316675067,0.14392208569578457,-0.007975817470966096,100.0,False,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,rabbit,cat,5,0.15200351174023874,0.1377122026918739,-0.014291309048364842,100.0,False,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,deer,dog,6,0.15326851728905588,0.14177704697823368,-0.011491470310822205,100.0,False,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,matched_fixed,Matched fixed suffix,horse,horse,1,0.1326076874399703,0.14408378188090532,0.011476094440935003,100.0,True,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,cat,cat,1,0.872750452894614,0.8870057373602072,0.01425528446559321,100.0,True,True
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,dog,dog,1,0.7667446906905584,0.7858498367811089,0.019105146090550473,100.0,True,True
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,fox,cat,2,0.9748451214226228,0.9730134751753309,-0.0018316462472919293,100.0,False,True
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,bear,bear,1,0.8554730180371597,0.8680395800977734,0.012566562060613684,100.0,True,True
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,wolf,fox,2,0.8295877335784088,0.8231228586332054,-0.006464874945203314,100.0,False,True
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,rabbit,bear,3,0.8454490445065397,0.8339595455892602,-0.011489498917279461,100.0,False,True
