layer_id,layer_index,full_module_name,matrix_type,condition,condition_label,prototype_concept,centroid_concept,cosine_distance,is_own_centroid,cross_readout
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,horse,cat,0.7871868370331789,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,horse,dog,0.7280876092927684,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,horse,fox,0.8068387506594376,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,horse,bear,0.766284163712792,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,horse,wolf,0.7602943897060778,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,horse,rabbit,0.7993195921797831,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,horse,deer,0.7287425908031974,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,horse,horse,0.5564456141242202,True,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,cat,cat,0.19665941890597005,True,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,cat,dog,0.212492978819665,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,cat,fox,0.22447938675645607,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,cat,bear,0.23147405460685722,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,cat,wolf,0.2365961629909068,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,cat,rabbit,0.22319564035337935,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,cat,deer,0.2498944562647467,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,cat,horse,0.22798080382286123,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,dog,cat,0.20943430025778476,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,dog,dog,0.16934429250853433,True,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,dog,fox,0.203144692346918,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,dog,bear,0.2108774836668641,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,dog,wolf,0.2087281995040542,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,dog,rabbit,0.2099444847598635,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,dog,deer,0.23108119740986033,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,dog,horse,0.19926452993647137,False,False
