group,target_names,anchor_names,layer,variant,target_rank,anchor_rank,true_leakage,projector_leakage_crosscheck,raw_preservation_loss,normalized_preservation_distortion,preservation_delta_vs_variant_c,preservation_ratio_vs_variant_c,anchor_feature_drift,orthogonality_residual,exact_mapping_residual,determinant
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.0220199735125372e-29,1.0845927328244579e-29,3528.550071443894,0.040774447280568858,-0.019809076404956716,0.67302865201798356,1.2390911083126006,2.43951621933784e-11,2.0027783422407095e-14,-1.0000000004097382
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.94232038821769104,0.9423203882179938,7719.4434077548613,0.089285303644701261,0,1,0.12534201597730082,6.8337909319664027e-12,,1.0000000000820115
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.1588949012443787e-29,1.2644844035356223e-29,6102.506929115767,0.070583351075885939,-0.018701952568815322,0.79053716787213713,1.1097754351256264,6.7771078974183661e-12,1.4653671056517313e-14,1.0000000000807197
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.91867393104188133,0.91867393104222916,4688.7970997271505,0.085187038941079804,0,1,0.095555484483264813,7.2571327046141477e-12,,1.0000000000866907
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.6652102954190827e-29,1.7771928086100122e-29,3300.5348199200125,0.059964801685975552,-0.025222237255104252,0.70391931015997178,0.71872529904703597,6.8596380409871973e-12,1.963105918563447e-14,-1.0000000000813181
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.95683605997617693,0.9568360599765301,3775.7678220733355,0.10688116538360462,0,1,0.19201785701320409,7.0688187231948143e-12,,1.0000000000845124
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,2.3214479578584377e-29,2.4227167683950614e-29,2154.0733673605314,0.060975643279584942,-0.045905522104019679,0.57049942392318354,0.86220362160465791,6.7177785885242132e-12,1.2157163371731087e-14,-1.000000000079754
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.8759954233075099,0.87599542330769375,1612.260563581006,0.23911060248395305,0,1,0.17386813693641406,2.2398308765238257e-12,,1.0000000000178795
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,5.6399322092070352e-30,6.245593582569304e-30,455.75284791944017,0.067591641519624282,-0.17151896096432878,0.28267939948066678,0.30385362979272701,1.8382291956899248e-12,1.1643153636797838e-14,1.0000000000145031
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.88504625560788819,0.88504625560804706,2141.6922572346948,0.19580621010436405,0,1,0.19994594872097296,2.1523249675994096e-12,,1.0000000000172675
