edit_seed,delta_unlearn,delta_preserve,delta_overall
20260820,-14.083333333333332,-20.333333333333336,-20.550170175739396
20260821,-13.166666666666668,-20.277777777777775,-20.73144989272666
20260822,-14.083333333333332,-19.666666666666664,-19.83070848992974
20260823,-13.0,-19.88888888888889,-20.090853515683
20260824,-13.416666666666668,-20.055555555555554,-20.517853956614722
