true_concept,cat,dog,fox,bear,wolf,rabbit,deer,horse
cat,15,11,5,2,0,5,0,12
dog,15,15,6,0,1,6,0,7
fox,5,1,10,7,2,10,4,11
bear,2,1,4,23,2,5,11,2
wolf,0,1,5,5,22,1,13,3
rabbit,2,1,10,5,0,15,6,11
deer,0,4,5,6,0,11,21,3
horse,5,0,18,3,0,3,1,20
