true_concept,cat,dog,fox,bear,wolf,rabbit,deer,horse
cat,25,19,3,0,0,1,0,2
dog,1,11,11,0,1,8,0,18
fox,2,7,18,2,2,11,6,2
bear,0,3,11,30,0,4,1,1
wolf,0,5,5,3,33,0,3,1
rabbit,0,2,11,0,0,30,0,7
deer,0,3,3,2,0,3,36,3
horse,0,2,12,0,0,5,0,31
