true_concept,cat,dog,fox,bear,wolf,rabbit,deer,horse
cat,26,11,0,2,4,3,1,3
dog,11,10,0,4,5,5,0,15
fox,0,4,11,9,3,9,12,2
bear,0,8,1,11,4,1,17,8
wolf,1,6,12,8,11,6,3,3
rabbit,3,4,8,4,3,15,11,2
deer,0,5,5,6,3,10,20,1
horse,1,2,1,6,11,12,1,16
